poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89627,1347,Cygnal,"","",Cygnal,67,Cygnal,2.1,-1.1,Live Phone/Text-to-Web,4.0,Virginia,2/26/25,2/27/25,,"",,,,,218757,600,lv,,lv,,3/4/25 11:15,"",https://www.cygn.al/wp-content/uploads/2025/03/VA-Gov-and-DOGE-Poll.pdf,,https://www.cygn.al/wp-content/uploads/2025/03/VA-Gov-and-DOGE-Poll.pdf,,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Spanberger,31079,Abigail A. Spanberger,46.0
89627,1347,Cygnal,"","",Cygnal,67,Cygnal,2.1,-1.1,Live Phone/Text-to-Web,4.0,Virginia,2/26/25,2/27/25,,"",,,,,218757,600,lv,,lv,,3/4/25 11:15,"",https://www.cygn.al/wp-content/uploads/2025/03/VA-Gov-and-DOGE-Poll.pdf,,https://www.cygn.al/wp-content/uploads/2025/03/VA-Gov-and-DOGE-Poll.pdf,,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,40.0
89600,383,PPP,973,314 Action,Public Policy Polling,263,Public Policy Polling,1.4,0.0,IVR/Text,4.0,Ohio,2/19/25,2/20/25,,"",,,,,218527,642,rv,,rv,,2/25/25 15:03,"",https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,"",false,DEM,16205,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Acton,37880,Amy Leigh Acton,45.0
89600,383,PPP,973,314 Action,Public Policy Polling,263,Public Policy Polling,1.4,0.0,IVR/Text,4.0,Ohio,2/19/25,2/20/25,,"",,,,,218527,642,rv,,rv,,2/25/25 15:03,"",https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,"",false,DEM,16205,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Ramaswamy,37844,Vivek G. Ramaswamy,44.0
89600,383,PPP,973,314 Action,Public Policy Polling,263,Public Policy Polling,1.4,0.0,IVR/Text,4.0,Ohio,2/19/25,2/20/25,,"",,,,,218528,642,rv,,rv,,2/25/25 15:03,"",https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,"",false,DEM,16205,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Ryan,37881,Tim Ryan,42.0
89600,383,PPP,973,314 Action,Public Policy Polling,263,Public Policy Polling,1.4,0.0,IVR/Text,4.0,Ohio,2/19/25,2/20/25,,"",,,,,218528,642,rv,,rv,,2/25/25 15:03,"",https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,https://314action.org/wp-content/uploads/2025/02/Ohio-Poll-Feb-2025.pdf,,"",false,DEM,16205,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Ramaswamy,37844,Vivek G. Ramaswamy,48.0
89598,415,Roanoke College,"","",Roanoke College Institute for Policy and Opinion Research,292,Roanoke College Institute for Policy and Opinion Research,2.6,-0.4,Live Phone/Online Opt-In Panel/Text-to-Web,7.0,Virginia,2/17/25,2/20/25,,"",,,,,218460,690,rv,,rv,,2/25/25 10:19,"",https://www.roanoke.edu/news/rc_poll_politics_february_2025,https://www.roanoke.edu/news/rc_poll_politics_february_2025,,https://www.roanoke.edu/documents/rcpoll/RC%20Poll%20Topline%20February%202025.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,DEM,Spanberger,31079,Abigail A. Spanberger,39.0
89598,415,Roanoke College,"","",Roanoke College Institute for Policy and Opinion Research,292,Roanoke College Institute for Policy and Opinion Research,2.6,-0.4,Live Phone/Online Opt-In Panel/Text-to-Web,7.0,Virginia,2/17/25,2/20/25,,"",,,,,218460,690,rv,,rv,,2/25/25 10:19,"",https://www.roanoke.edu/news/rc_poll_politics_february_2025,https://www.roanoke.edu/news/rc_poll_politics_february_2025,,https://www.roanoke.edu/documents/rcpoll/RC%20Poll%20Topline%20February%202025.pdf,"",,,10012,2025,Governor,0,,11/4/25,general,false,false,,true,REP,Sears,31081,Winsome Sears,24.0
89593,1888,UMass Amherst/YouGov,"","",University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,2/14/25,2/20/25,,"",,,,,218447,700,a,,a,,2/24/25 13:46,"",https://www.umass.edu/political-science/about/reports/2025#toc--toplines-and-crosstabs-,https://www.umass.edu/political-science/about/reports/2025#toc--toplines-and-crosstabs-,"https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025/Toplines%20Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025.pdf?CT=1740407694787&OR=ItemsView","https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025/Crosstabs%20Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025.pdf?CT=1740407697551&OR=ItemsView","",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,DEM,Healey,37543,Maura Healey,40.0
89593,1888,UMass Amherst/YouGov,"","",University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,2/14/25,2/20/25,,"",,,,,218447,700,a,,a,,2/24/25 13:46,"",https://www.umass.edu/political-science/about/reports/2025#toc--toplines-and-crosstabs-,https://www.umass.edu/political-science/about/reports/2025#toc--toplines-and-crosstabs-,"https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025/Toplines%20Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025.pdf?CT=1740407694787&OR=ItemsView","https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025/Crosstabs%20Healy,%20Trump%20Approval%20&%20Issues%20-%20%C2%A0February%2024,%202025.pdf?CT=1740407697551&OR=ItemsView","",false,,16083,2026,Governor,0,,11/3/26,general,false,false,,true,REP,Kennealy,37544,Michael Kennealy,15.0
