poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
89628,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,3/3/25,3/4/25,,"",,218776,1174,a,,a,,3/4/25 23:52,"",https://www.ipsos.com/en-us/three-five-americans-say-cost-living-going-wrong-direction,https://www.ipsos.com/en-us/three-five-americans-say-cost-living-going-wrong-direction,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Pre%20Joint%20Session%20Congress%20Topline%2003%2004%202025.pdf,,"",,,11,Donald Trump,44.0,51.0,5.0
89624,1102,Emerson,"","",Emerson College,88,Emerson College,2.9,-1.1,Online Opt-In Panel/Email,7.0,,3/2/25,3/3/25,,"",,218730,1000,rv,,rv,,3/3/25 16:07,"",https://emersoncollegepolling.com/march-2025-national-poll/,https://emersoncollegepolling.com/march-2025-national-poll/,,https://docs.google.com/spreadsheets/d/1-mJKBNLJeEGp_7ZSBNwUmlDnH3SawgDJ/edit?gid=1263081245#gid=1263081245,"",,,11,Donald Trump,48.0,43.1,8.8
89629,1447,Civiqs,185,Daily Kos,Civiqs,471,Civiqs,2.4,-0.2,Online Opt-In Panel,8.0,,2/28/25,3/3/25,,"",,218777,1031,rv,,rv,,3/4/25 23:52,"",https://civiqs.com/reports/2025/03/04/report-americans-agree-russia-is-responsible-for-the-war,https://civiqs.com/reports/2025/03/04/report-americans-agree-russia-is-responsible-for-the-war,,https://civiqs.com/documents/Civiqs_DailyKos_banner_book_2025_03_92di4s.pdf,"",,DEM,11,Donald Trump,48.0,52.0,0
89625,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,3.0,,2/28/25,3/2/25,,"",,218753,2229,rv,,rv,,3/3/25 16:37,"",https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,,,"",,,11,Donald Trump,49.0,48.0,3.0
89623,1705,John Zogby Strategies,"","",John Zogby Strategies,583,John Zogby Strategies,1.8,0.0,Text-to-Web/Email,5.0,,2/28/25,3/1/25,,"",,218712,1001,v,,v,,3/3/25 14:59,"",https://johnzogbystrategies.com/03-03-25-new-zogby-strategies-poll-on-trump-the-democrats-first-40-days/,https://johnzogbystrategies.com/03-03-25-new-zogby-strategies-poll-on-trump-the-democrats-first-40-days/,,https://projects.fivethirtyeight.com/polls/20250303_US_JohnZogbyStrategies.pdf,"",,,11,Donald Trump,47.7,47.5,4.7
89615,568,YouGov,133,CBS News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,2/26/25,2/28/25,,"",,218644,2311,a,,a,,3/3/25 10:11,"",https://www.cbsnews.com/news/trump-elon-musk-government-workforce-cuts-opinion-poll-2025-03-02/,https://www.cbsnews.com/news/trump-elon-musk-government-workforce-cuts-opinion-poll-2025-03-02/,,https://www.scribd.com/document/834478939/cbsnews-20250302-1-SUN#fullscreen&from_embed,"",,,11,Donald Trump,51.0,49.0,0
89622,770,TIPP,1742,Issues & Insights,TIPP Insights,144,TIPP Insights,1.8,-0.4,Online Opt-In Panel,3.0,,2/26/25,2/28/25,,"",,218707,1434,a,,a,,3/3/25 13:37,"",https://tippinsights.com/voters-still-view-trump-favorably-but-remain-worried-about-economy-inflation-i-i-tipp-poll/,https://tippinsights.com/voters-still-view-trump-favorably-but-remain-worried-about-economy-inflation-i-i-tipp-poll/,,,"",,,11,Donald Trump,46.0,43.0,11.0
89612,1554,RMG Research,2178,Napolitan News Service,RMG Research,555,RMG Research,2.3,-0.4,,5.0,,2/24/25,2/28/25,,"",,218640,3000,rv,,rv,,3/3/25 10:11,"",https://napolitannews.org/posts/president-trump-job-approval-53-percent-approve-45-disapprove,https://napolitannews.org/posts/president-trump-job-approval-53-percent-approve-45-disapprove,,,"",,,11,Donald Trump,53.0,45.0,2.0
89616,1866,CNN/SSRS,"","",CNN/SSRS,844,CNN,2.8,-0.6,Probability Panel,10.0,,2/24/25,2/28/25,,"",,218645,2212,a,,a,,3/3/25 10:11,"",https://www.cnn.com/2025/03/02/politics/poll-trump-negative-congress-address,https://www.cnn.com/2025/03/02/politics/poll-trump-negative-congress-address,,https://s3.documentcloud.org/documents/25548460/cnn-poll-public-remains-negative-on-trump-ahead-of-address-to-congress.pdf,"",,,11,Donald Trump,48.0,52.0,0
89616,1866,CNN/SSRS,"","",CNN/SSRS,844,CNN,2.8,-0.6,Probability Panel,10.0,,2/24/25,2/28/25,,"",,218677,,rv,,rv,,3/3/25 12:12,"",https://www.cnn.com/2025/03/02/politics/poll-trump-negative-congress-address,https://www.cnn.com/2025/03/02/politics/poll-trump-negative-congress-address,,https://s3.documentcloud.org/documents/25548460/cnn-poll-public-remains-negative-on-trump-ahead-of-address-to-congress.pdf,"",,,11,Donald Trump,48.0,52.0,0
