poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
74225,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,,,1/16/21,1/19/21,,"",,139304,1500,a,,a,,1/20/21 10:18,"",https://docs.cdn.yougov.com/y9zsit5bzd/weeklytrackingreport.pdf,,,,538,,,11,Donald Trump,42.0,53.0,4.0
74225,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,,,1/16/21,1/19/21,,"",,139305,1155,rv,,rv,,1/20/21 10:18,"",https://docs.cdn.yougov.com/y9zsit5bzd/weeklytrackingreport.pdf,,,,538,,,11,Donald Trump,44.0,55.0,1.0
74226,23,ARG,"","",American Research Group,9,American Research Group,2.3,-0.2,Live Phone,,,1/16/21,1/19/21,,"",,139306,1100,a,,a,,1/20/21 10:18,"",https://americanresearchgroup.com/economy/,https://americanresearchgroup.com/economy/,,,538,,,11,Donald Trump,30.0,66.0,0
74226,23,ARG,"","",American Research Group,9,American Research Group,2.3,-0.2,Live Phone,,,1/16/21,1/19/21,,"",,139307,990,rv,,rv,,1/20/21 10:18,"",https://americanresearchgroup.com/economy/,https://americanresearchgroup.com/economy/,,,538,,,11,Donald Trump,29.0,67.0,0
74224,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Opt-In Panel,,,1/15/21,1/19/21,,"",,139298,5188,a,,a,,1/19/21 21:52,"",https://projects.fivethirtyeight.com/polls/20210119_US_Atlas2.pdf,,,,538,,,11,Donald Trump,44.6,53.9,1.5
74265,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/15/21,1/19/21,,"",,139476,2200,a,,a,,1/28/21 09:05,"",https://assets.morningconsult.com/wp-uploads/2021/01/27115240/210163_crosstabs_MC_ENTERTAINMENT_CELEBRITY_MASKS_Adults_v1.pdf,,,https://assets.morningconsult.com/wp-uploads/2021/01/27115240/210163_crosstabs_MC_ENTERTAINMENT_CELEBRITY_MASKS_Adults_v1.pdf,538,,,11,Donald Trump,36.0,58.0,0
74244,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/13/21,1/19/21,,"",,139391,31920,rv,,rv,TRUE,1/21/21 10:32,"",https://morningconsult.com/form/global-leader-approval/,https://morningconsult.com/form/global-leader-approval/,,,538,,,11,Donald Trump,35.0,59.0,0
74245,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/15/21,1/18/21,,"",,139392,2200,a,,a,,1/21/21 15:47,"",https://assets.morningconsult.com/wp-uploads/2021/01/21115528/210156_crosstabs_BRAND_STATEMENTS_Adults_v1_AUTO.pdf,,,https://assets.morningconsult.com/wp-uploads/2021/01/21115528/210156_crosstabs_BRAND_STATEMENTS_Adults_v1_AUTO.pdf,538,,,11,Donald Trump,36.0,61.0,0
74221,399,Rasmussen,1585,SLANTED,Rasmussen Reports,277,Rasmussen Reports,2.1,-0.5,IVR/Online Opt-In Panel,,,1/14/21,1/18/21,,"",,139287,1500,lv,,lv,TRUE,1/19/21 09:13,"",https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,,,,538,,,11,Donald Trump,51.0,48.0,0
74243,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/12/21,1/18/21,,"",,139390,31920,rv,,rv,TRUE,1/21/21 10:32,"",https://morningconsult.com/form/global-leader-approval/,https://morningconsult.com/form/global-leader-approval/,,,538,,,11,Donald Trump,35.0,59.0,0
74214,396,Quinnipiac,"","",Quinnipiac University,267,Quinnipiac University,2.8,-0.5,Live Phone,,,1/15/21,1/17/21,,"",,139262,1131,rv,,rv,,1/18/21 14:24,"",https://poll.qu.edu/poll-release?releaseid=3732,,,https://poll.qu.edu/poll-release?releaseid=3732,538,,,11,Donald Trump,34.0,61.0,5.0
