poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
89411,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,11/14/24,11/18/24,,"",,216811,1612,a,,a,,11/25/24 12:40,"",https://www.yahoo.com/news/yahoo-newsyougov-poll-74-of-voters-heard-about-harriss-plan-to-protect-transgender-people-more-than-almost-any-other-campaign-issue-130058273.html,https://www.yahoo.com/news/yahoo-newsyougov-poll-74-of-voters-heard-about-harriss-plan-to-protect-transgender-people-more-than-almost-any-other-campaign-issue-130058273.html,,https://www.scribd.com/document/795671226/20241118-Yahoo-Full-Topline-Crosstab,"",,,6826,Kamala Harris,38.0,53.0,9.0
89411,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,11/14/24,11/18/24,,"",,216812,1080,rv,,rv,,11/25/24 12:40,"",https://www.yahoo.com/news/yahoo-newsyougov-poll-74-of-voters-heard-about-harriss-plan-to-protect-transgender-people-more-than-almost-any-other-campaign-issue-130058273.html,https://www.yahoo.com/news/yahoo-newsyougov-poll-74-of-voters-heard-about-harriss-plan-to-protect-transgender-people-more-than-almost-any-other-campaign-issue-130058273.html,,https://www.scribd.com/document/795671226/20241118-Yahoo-Full-Topline-Crosstab,"",,,6826,Kamala Harris,43.0,52.0,4.0
89401,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,0.5,1.6,,4.0,,11/4/24,11/6/24,,"",,216717,1000,v,,v,,11/18/24 12:14,"",https://mclaughlinonline.com/pols/wp-content/uploads/2024/11/National-November-Post-Elect-Presentation-RELEASE-11-8-24-1.pdf,,,https://mclaughlinonline.com/pols/wp-content/uploads/2024/11/National-November-Post-Elect-Presentation-RELEASE-11-8-24-1.pdf,"",,,6826,Kamala Harris,49.0,50.0,2.0
89367,241,Ipsos,71,Reuters,Ipsos,154,Ipsos,2.8,-0.9,Probability Panel,9.5,,11/1/24,11/3/24,,"",,216433,1242,a,,a,,11/4/24 18:10,"",https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/en-us/harris-and-trump-are-locked-tight-race-1-day-election,https://www.ipsos.com/sites/default/files/ct/news/documents/2024-11/Ipsos%20Core%20Political%2011%2004%202024%20PDF_1.pdf,,"",,,6826,Kamala Harris,40.0,48.0,11.0
89423,1560,Lord Ashcroft Polls,"","",Lord Ashcroft Polls,560,Lord Ashcroft Polls,,,Online Opt-In Panel,,,10/16/24,11/3/24,,"",,216931,20528,a,,a,,12/5/24 11:18,"",https://lordashcroftpolls.com/2024/12/eyes-wide-open-trump-harris-the-voters-and-the-2024-election/,https://lordashcroftpolls.com/2024/12/eyes-wide-open-trump-harris-the-voters-and-the-2024-election/,,,"",,,6826,Kamala Harris,47.0,47.0,6.0
89423,1560,Lord Ashcroft Polls,"","",Lord Ashcroft Polls,560,Lord Ashcroft Polls,,,Online Opt-In Panel,,,10/16/24,11/3/24,,"",,216932,16563,rv,,rv,,12/5/24 11:18,"",https://lordashcroftpolls.com/2024/12/eyes-wide-open-trump-harris-the-voters-and-the-2024-election/,https://lordashcroftpolls.com/2024/12/eyes-wide-open-trump-harris-the-voters-and-the-2024-election/,,,"",,,6826,Kamala Harris,50.0,47.0,4.0
89366,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/30/24,11/2/24,,"",,216410,4520,rv,,rv,,11/4/24 16:20,"",https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,,https://elections.harrisx.com/public/HX_Forbes_Poll_Nov_2_24_3Day.html,"",,,6826,Kamala Harris,45.0,50.0,6.0
89366,1416,HarrisX,2097,Forbes,HarrisX,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,6.0,,10/30/24,11/2/24,,"",,216411,3759,lv,,lv,,11/4/24 16:20,"",https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,https://www.forbes.com/sites/saradorn/2024/11/04/new-forbesharrisx-survey-harris-and-trump-in-near-dead-heat-1-day-before-election/,,https://elections.harrisx.com/public/HX_Forbes_Poll_Nov_2_24_3Day.html,"",,,6826,Kamala Harris,47.0,51.0,2.0
89288,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,10/29/24,10/31/24,,"",,216081,1710,a,,a,,11/3/24 12:40,"",https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,,https://www.scribd.com/document/787484182/full-yahoo-20241101,"",,,6826,Kamala Harris,44.0,48.0,8.0
89288,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,9.0,,10/29/24,10/31/24,,"",,216082,1267,rv,,rv,,11/3/24 12:40,"",https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,https://www.yahoo.com/news/final-yahoo-newsyougov-election-poll-trump-pulls-even-with-harris-at-47--but-will-enthusiasm-favor-democrats-144135193.html,,https://www.scribd.com/document/787484182/full-yahoo-20241101,"",,,6826,Kamala Harris,45.0,51.0,4.0
