QTag,Question Text,Internal/External
COUNTRY_ISO2,Country ISO alpha-2 code,External
COUNTRY_ISO3,Country ISO alpha-3 code,External
COUNTRYNEW,Country name,External
DEGURBA,Degree of Urbanisation,External
EMP_2010,Respondents fall into one of six categories of employment based on a combination of answers to a series of questions about employment. ,External
EMP_FTEMP,Employed Full Time for an Employer Index (workforce),External
EMP_FTEMP_POP,The Payroll to Population Index measures the percentage of the adult population that is employed full time for an employer. ,External
EMP_LFPR,Labor Force Participation Index,External
EMP_UNDER,The Underemployment Index measures the percentage of respondents in the workforce who are either unemployed or are employed part time (fewer than 30 hours per week) and wish to be employed full time.,External
EMP_UNEMP,"The Unemployment Index measures the percentage of respondents in the workforce who are not employed, who have been actively looking for work within the last four weeks, AND who say they would have been able to begin work in the last four weeks. ",External
EMP_WORK_HOURS,Total number of hours work per week (asked of those who work for employer or self),External
FIELD_DATE,Study Completion Date,External
HHSIZE,Total number living in household for per capita income,External
HHWEIGHT2,hhweight2,External
INCOME_1,Annual household income in local currency,External
INCOME_2,Annual household income in International Dollars in current prices,External
INCOME_3,Per Capita annual income in local currency,External
INCOME_4,Per Capita annual income in International Dollars in current prices,External
INCOME_5,Per Capita income quintiles,External
INCOME_7,Reported versus imputed values,External
INDEX_CA,The Community Attachment Index measures respondents' satisfaction with the city where they live and their likelihood to move away or recommend that city to a friend.,External
INDEX_CB,"The Community Basics Index measures satisfaction with aspects of everyday life in a community, including education, environment, healthcare, housing, and infrastructure.",External
INDEX_CE,The Civic Engagement Index assesses respondents' inclination to volunteer their time and assistance to others.,External
INDEX_CM,The Communications Index measures the degree to which respondents are connected via electronic communications.,External
INDEX_CMA,The Communications Access Index measures respondents’ access to telephone and internet for personal use.,External
INDEX_CMU,"The Communications Use Index measures respondents’ access to telephone and internet for personal use, and usage of the internet in the past seven days.",External
INDEX_CR,The Corruption Index measures perceptions in a community about the level of corruption in business and government.,External
INDEX_DE,"The Daily Experience Index is a measure of respondents' experienced wellbeing on the day before the survey. The index provides a real-time, composite measure of respondents' positive and negative experiences.",External
INDEX_DI,"The Diversity Index measures a community`s acceptance of people from different racial, ethnic, and cultural groups.",External
INDEX_EC,"Gallup's Economic Confidence Index is based on the combined responses to two questions, the first asking respondents to rate economic conditions in this country today, and second, whether they think economic conditions in the country as a whole are getting better or getting worse.",External
INDEX_FL,The Financial Life Index measures respondents’ personal economic situations and the economics of the community where they live.,External
INDEX_FS,The Food and Shelter Index measures whether or not a respondent has experienced deprivation in the areas of food or shelter. Two items that ask about respondents' ability to afford food or shelter in the past year compose this index.,External
INDEX_GW,"Percentage of residents thriving in three or more of the five elements of well-being (purpose, social, financial, community and physical). Thriving is defined as well-being that is strong and consistent in a particular element.",External
INDEX_GWCOM,"A component of well-being that includes liking where you live, feeling safe and having pride in your community",External
INDEX_GWFIN,A component of well-being that includes managing your economic life to reduce stress and increase security.,External
INDEX_GWPHY,A component of well-being that includes having good health and enough energy to get things done daily.,External
INDEX_GWPUR,A component of well-being that includes liking what you do each day and being motivated to achieve your goals.,External
INDEX_GWSOC,A component of well-being that includes having supportive relationships and love in your life.,External
INDEX_JC,The Job Climate Index measures attitudes about a community’s efforts to provide economic opportunity.  ,External
INDEX_LE,The Life Evaluation Index measures respondents’ perceptions of where they stand now and in the future. ,External
INDEX_LEC,"Gallup's Local Economic Confidence Index is based on the combined responses to two questions, the first asking respondents to rate economic conditions in their city or area today, and second, whether they think economic conditions in the city or area where they live are getting better or getting worse.",External
INDEX_LO,"The Law and Order Index measures security levels that respondents report for themselves and their families. Two elements make up this index: one composed of respondents' reported confidence in local police and feeling safe walking alone at night, and the other of two questions about respondents' experiences with crime.",External
INDEX_MAI,The Migrant Acceptance Index assesses respondents’ acceptance of migrants based on increasing degree of personal proximity.,External
INDEX_NI,"The National Institutions Index measures confidence in key national institutions prominent in leading a country: the military, the judicial system, the national government, and the honesty of elections.",External
INDEX_NX,The Negative Experience Index is a measure of experienced well-being on the day before the survey. Questions provide a real-time measure of respondents` negative experiences.,External
INDEX_OT,"The Optimism Index measures a respondent`s positive attitude for the future. Specifically, respondents are asked whether certain aspects of their life are getting better or getting worse.",External
INDEX_PH,"The Personal Health Index measures perceptions of one`s own health and incidence of pain, sadness, and worry.",External
INDEX_PX,The Positive Experience Index is a measure of experienced well-being on the day before the survey. Questions provide a real-time measure of respondents` positive experiences.,External
INDEX_SL,The Social Life Index assesses a respondents' social support structure and opportunities to make friends in the city where they live.,External
INDEX_ST,"The Struggling Index measures respondents` perceptions of where they stand on a ladder scale with steps numbered from 0 to 10, where  0  represents the worst possible life and  10  represents the best possible life. Individuals not classified as thriving or suffering are considered to be  struggling. ",External
