ResponseId,Student,Q1,QNEW,Q2,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6,Q7_x1,Q7_x4,Q7_x5,Q7_x6,Q7_x7,Q7_x8,Q7_x9,Q7_x10,Q7_x11,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q17,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q21_1,Q21_2,Q21_3,Q21_4,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_10_TEXT,Q29_1,Q29_2,Q29_3,Q29_4,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q34,Q35,Q36,Q37,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,QPID100,Q260,Q270,R01,R02,R03_1,R03_2,R03_3,R03_4,R03_5,R03_6,R03_7,R03_8,R03_9,R03_10,R04,xacslang,xhhno,xhispan,xppracem,xspanish,xurbanicity,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,ppemploy,ppt18ov,ppkid017,PPREG9,weight
R_7QZXxMK99ZpWs0N, ,1,2,1,1,3,3,3,2,1,5,1,1,3,2,2,2,2,2,3,1,1,4,2,5,3,3,5,7,3,5,5,4,3,7, , , , , , , , ,4,1,2, ,1,2,1, ,1, ,1,2,3,1,2,1,2,2,3,3, ,2,2, ,2,2,4,1,2, , , , ,2,2,3,2,2,2,1, , ,3,1,3,3,2,2,2, ,1, ,1,0,0,0,0,0,0,0, ,1, ,2,2,1, ,1,2, , , ,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0, ,3,3,3,3,1, ,2,2,1,2,1,1,2,2,3,2,3,1,1,2,13,6,1,1, , , , , , , , , , ,1,5,57289,1,1,1,3,20,3,3,1,2,3,1,7,5,1,3,1,73,3,3,0,7,0.7264
R_2Xj5W3yn0fbe9t8, ,1,2,1,3,3,2,2,3,3,4,2,2,2,1,3,3,2,2,3,3,2,2,3,5,3,5,6,3,5,3,6,6,4,4, , , , , , , , ,3,1,2, ,1,2,2, ,2, ,3,2,3,2,2,1,2,3,2,3, ,3,2, ,1,2,2,2,2, , , , ,2,2,2,2,2,2,2, , ,5,1,4,2,1,2,2, ,1, ,1,0,0,0,0,0,0,0, ,2, ,2,2,2, ,2,2, , , ,3,3,3,3,2,3,2,0,0,1,1,0,0,1,0,0,0,0, ,3,3,2,2,3, ,2,2,2,2,1,1,2,2,3,3,2,2,2,2,13,5,1,1, , , , , , , , , , ,1,5,130010,1,1,1,3,20,3,3,1,1,4,1,5,5,1,2,1,31,2,4,0,3,0.665
R_7p9M6ZAtjwUefTr, ,1,2,1,3,1,1,1,1,1,1,1,1,1,3,2,3,4,2,4,3,4,4,4,4,4,5,4, , , , , , , ,7,5,5,4,4,1,5,6,4,1, ,1,1,3, ,1, ,4,2,2,2,3,2,1,1,3,1, ,1, ,1,1,3,2,1, , ,2,2,2,2, , ,1,2,2, , ,2,1,3,4,2,2,1,1, ,1, ,1,1,1,0,0,0,0,1,0,1, ,2, , , ,2, , ,2,2,2,2,1,2,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0, ,3,3,3,1,3, ,2,1,2,2,2,1,2,1,4,4,4,2,2,1,2,5,2, ,1,1, , , , , , , , ,1,5,152979,1,1,1,2,23,3,3,1,1,3,1,6,5,1,3,1,62,2,3,0,6,0.73
R_4ifx3xUAD4hllHr, ,1,1,2,2,5,4,4,4,5,4,4,4,4,2,1,2,1,2,1,2,2,2,2,4,6,3,3, , , , , , , ,4,2,3,2,5,3,5,6,2,1, ,2,2,1, ,2, ,1,1,2,2,2,2,1,1,2,2, ,1, ,3,2,2,1,2, , ,1,2,2,2, , ,1,2,2, , ,2,2,3,3,2,3,1,2, ,1, ,2,0,0,0,0,1,0,0,0,2, ,2, , , ,2, , ,2,1,1,2,2,3,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0, ,2,2,2,3,1, ,2,2,2,1,2,2,2,1,3,2,2,2,2,6,1,1,2, ,3,1, , , , , , , , ,1,5,153429,1,1,1,3,21,3,3,1,1,3,1,6,1,1,3,1,52,2,2,1,5,0.3308
R_2XhT6q9r3pxSidR, ,1,1,1,3,1,1,2,1,1,4,2,1,1,4,1,2,2,2,2,3,1,4,3,5,3,5,4,6,4,5,4,5,5,6, , , , , , , , ,4,1,2, ,1,3,2, ,1, ,1,2,3,3,2,1,2,1,2,3, ,1,1, ,3,1,3,1,1, , , , ,2,1,2,3,2,2,1, , ,2,1,2,3,1,1,2, ,1, ,1,1,0,0,0,0,0,0, ,1, ,2,2,1, ,1,1, , , ,2,3,3,2,1,2,2,0,0,1,1,0,0,1,0,0,0,0, ,3,3,2,1,1, ,2,2,2,2,1,2,3,1,2,3,2,3,2,2,13,5,1,1, , , , , , , , , , ,1,5,154150,1,1,1,3,20,3,3,1,2,3,1,5,5,1,3,1,74,2,3,0,7,0.2923
R_19bQoD5fBCH91d4, ,1,2,1,2,2,1,2,1,1,-1,1,1,3,1,2,2,2,2,2,2,2,3,3,5,4,4,3,6,2,4,3,2,5,7, , , , , , , , ,2,1,2, ,1,2,2, ,2, ,2,2,2,1,2,2,2,2,2,1, ,3,2, ,3,2,4,1,2, , , , ,2,2,2,2,2,2,2, , ,3,1,1,3,1,2,2, ,1, ,1,0,0,0,0,0,0,0, ,1, ,2,2,2, ,2,2, , , ,3,3,3,3,2,3,3,1,0,0,1,0,0,0,1,1,0,0, ,2,4,3,3,3, ,2,2,2,2,1,1,2,1,2,3,2,2,2,2,1,5,1,1, , , , , , , , , , ,1,5,163407,1,1,1,3,20,4,4,1,2,3,1,7,5,1,3,1,59,3,3,0,5,0.4819
R_31NOFBIHcOoUlPP, ,1,1,2,4,1,2,3,1,2,4,1,2,3,1,2,2,1,2,2,1,3,3,2,5,4,4,4, , , , , , , ,1,7,4,1,2,7,2,1,3,1, ,2,2,4, ,3, ,2,1,2,3,1,2,2,2,1,2, ,2, ,1,1,2,2,4, , ,1,2,2,2, , ,2,3,3, , ,1,2,4,2,1,2,1,1, ,1, ,1,0,1,0,0,0,0,0,0,1, ,1, , , ,2, , ,2,2,2,2,2,3,4,3,4,3,0,0,0,0,0,0,1,1,0,0,0, ,1,2,2,3,3, ,2,2,2,2,2,2,2,1,3,3,3,2,1,2,13,6,1,1, , , , , , , , , , ,1,5,166152,1,1,1,3,23,4,4,1,1,3,1,7,5,0,2,1,42,3,3,0,4,0.4979
R_7Ytf7NGNqKPhxkZ, ,1,2,1,2,1,1,1,1,1,3,1,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , ,2,1,2, ,2,2,1, ,1, ,2,2,2,2,2,1,2,3,3,3, ,3,3, ,2,2,3,2,2, , , , ,2,2,2,2,2,2,2, , ,2,2,2,2,1,1,2, ,1, ,0,0,1,0,1,0,1,0, ,1, ,2,2,2, ,2,2, , , ,1,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0, ,2,2,2,2,3, ,2,1,1,2,1,1,3,1,3,4,3,3,2,3,13,4,2, ,1,1, , , , , , , , ,1,5,167011,1,1,1,1,21,3,3,1,1,3,1,5,5,1,2,1,34,2,3,0,3,0.9658
R_73DS6FjsazI8bEP, ,1,2,1,1,2,1,2,4,1,4,1,1,1,3,3,3,3,3,4,1,3,4,4,1,1,4,2, , , , , , , ,1,4,3,1,1,7,1,1,4,1, ,2,2,2, ,2, ,3,1,2,2,2,1,2,2,2,4, ,1, ,1,3,5,2,4, , ,2,2,2,1, , ,1,2,2, , ,1,1,4,1,1,4,2,2, ,2, ,2,1,0,0,0,1,1,0,0,1, ,1, , , ,2, , ,2,2,2,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,1, ,1,1,1,1,3, ,2,2,2,2,1,1,3,1,4,4,4,2,2,6,2,3,1,1, , , , , , , , , , ,1,5,176827,1,2,1,3,21,3,3,2,2,2,1,5,5,1,3,1,58,2,2,0,5,0.4148
R_52xdy7t7t8pjbPD,1,1,2,1,2,2,2,2,1,2,4,1,1,1,3,2,2,2,3,2,2,3,4,3,5,4,5,5, , , , , , , ,4,7,5,4,4,6,5,4,3,1, ,3,2,2, ,3, ,3,1,1,1,1,1,2,2,1,3, ,1, ,2,1,2,1,4, , ,1,2,3,1, , ,3,3,2, , ,1,1,3,1,4,3,2,2, ,2, ,2,1,0,0,0,0,1,0,0,2, ,1, , , ,2, , ,2,2,2,3,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,1,-1,2,2,2,1,3, ,1,2,1,2,1,1,1,1,3,3,3,3,3,2,1,4,4, ,3,3,1,3, , , , , , ,1,1,178863,8,2,1,1,22,3,3,4,2,5,1,7,5,1,2,1,35,2,3,2,3,1.0733
