itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_maricopa_county,region_north_east,region_pima_county,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth
How satisfied are you with the way things are going in your life these days?,Very satisfied,40%,36%,44%,44%,41%,35%,43%,42%,43%,25%,44%,37%,48%,39%,35%,36%,39%,34%,39%,51%,38%,41%,41%,43%,36%,46%,42%,34%,48%,46%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,36%,37%,34%,35%,42%,33%,34%,35%,36%,38%,35%,37%,36%,35%,34%,39%,38%,35%,45%,17%,41%,32%,33%,44%,29%,36%,43%,29%,33%,40%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,11%,12%,10%,17%,9%,11%,10%,11%,6%,18%,10%,12%,8%,13%,14%,10%,11%,13%,6%,14%,9%,14%,10%,8%,13%,9%,8%,14%,9%,10%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,9%,12%,7%,3%,7%,14%,7%,9%,8%,13%,7%,11%,6%,11%,11%,10%,8%,11%,6%,17%,9%,9%,11%,<1%,17%,9%,<1%,18%,9%,4%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,4%,3%,5%,0%,<1%,7%,6%,3%,6%,6%,4%,4%,3%,3%,6%,6%,4%,7%,4%,2%,4%,3%,5%,4%,4%,<1%,5%,5%,<1%,<1%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,76%,73%,78%,80%,83%,68%,77%,77%,79%,64%,79%,74%,84%,73%,69%,75%,77%,69%,84%,67%,79%,73%,74%,86%,65%,82%,86%,63%,81%,85%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,20%,24%,17%,20%,16%,25%,17%,20%,15%,31%,17%,22%,13%,24%,25%,20%,19%,24%,12%,31%,18%,23%,21%,9%,30%,17%,9%,32%,18%,14%
How satisfied are you with the way things are going in your life these days?,Number of respondents,626,325,297,110,143,201,140,384,141,87,252,370,176,208,67,158,368,90,97,71,251,224,151,257,310,59,202,260,67,97
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,16%,23%,29%,27%,63%,21%,15%,36%,63%,25%,38%,10%,25%,60%,14%,15%,12%,40%,35%,25%,42%,49%,9%,33%,42%,10%,15%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
