itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,region_maricopa_county,region_north_east,region_pima_county,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,party_reg_dem,party_reg_rep,party_reg_oth,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,60%,60%,60%,45%,52%,66%,67%,65%,47%,52%,65%,56%,59%,64%,56%,63%,60%,60%,48%,61%,64%,55%,60%,64%,53%,61%,66%,34%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,35%,35%,35%,41%,39%,32%,29%,31%,41%,41%,32%,37%,37%,29%,35%,29%,35%,34%,39%,35%,31%,38%,34%,31%,40%,36%,31%,46%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,3%,3%,3%,9%,6%,2%,<1%,2%,7%,3%,2%,4%,2%,6%,5%,3%,3%,3%,5%,3%,2%,4%,3%,2%,4%,2%,1%,11%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<1%,<1%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%,0%,<.5%,<1%,<.5%,<.5%,<1%,<.5%,0%,2%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,<1%,1%,<1%,3%,2%,<.5%,<.5%,<.5%,3%,1%,<1%,1%,<1%,<1%,2%,2%,1%,<1%,7%,<1%,<.5%,2%,1%,<.5%,2%,1%,0%,4%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,<.5%,<.5%,0%,0%,0%,0%,<.5%,0%,<1%,0%,0%,<.5%,0%,<1%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,<.5%,0%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,1%,1%,<1%,1%,<.5%,<.5%,2%,1%,<.5%,2%,<.5%,1%,<1%,0%,3%,2%,<1%,2%,2%,1%,2%,<.5%,<1%,2%,<1%,0%,2%,3%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,808,386,417,147,166,230,230,519,148,116,342,459,479,105,119,105,369,411,28,210,242,295,240,280,288,299,301,168,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,39%,52%,53%,45%,43%,46%,38%,60%,64%,50%,43%,46%,53%,56%,23%,100%,0%,0%,97%,6%,45%,92%,7%,46%,90%,4%,41%,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",51%,58%,46%,44%,49%,55%,51%,60%,40%,26%,46%,54%,52%,45%,39%,73%,0%,100%,0%,2%,93%,51%,6%,91%,48%,9%,95%,50%,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,3%,3%,3%,6%,2%,3%,2%,<.5%,10%,4%,3%,2%,2%,5%,4%,0%,0%,100%,1%,<1%,4%,1%,2%,6%,<1%,<1%,8%,NA,NA
