itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_miami_dade,region_north,region_orlando,region_rest,region_southeast,region_tampa,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,68%,71%,66%,46%,60%,69%,79%,74%,51%,64%,52%,74%,57%,73%,65%,81%,70%,62%,53%,65%,79%,63%,65%,73%,70%,71%,69%,36%,68%,72%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,23%,27%,45%,27%,25%,18%,22%,38%,25%,40%,22%,32%,20%,29%,15%,27%,28%,35%,29%,20%,31%,28%,21%,22%,24%,26%,25%,26%,26%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,4%,4%,3%,6%,7%,5%,<1%,3%,8%,4%,5%,3%,6%,3%,4%,3%,3%,4%,7%,2%,<1%,3%,4%,4%,5%,4%,3%,14%,4%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<1%,<1%,<1%,2%,1%,<1%,<.5%,<.5%,<1%,2%,2%,<.5%,2%,<1%,<1%,0%,<.5%,2%,2%,<.5%,<1%,<1%,1%,1%,<.5%,<1%,<.5%,12%,<1%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,<1%,1%,1%,4%,<.5%,<1%,<.5%,3%,3%,2%,<.5%,3%,1%,1%,<.5%,<.5%,3%,3%,3%,<.5%,<.5%,<1%,<1%,2%,<.5%,1%,7%,1%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,<1%,0%,1%,0%,<1%,<.5%,1%,<1%,0%,1%,0%,<1%,<1%,1%,<.5%,1%,<.5%,1%,0%,<1%,0%,1%,<1%,0%,<1%,<.5%,<.5%,7%,<1%,0%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",41%,35%,47%,51%,36%,37%,46%,35%,73%,47%,40%,35%,54%,51%,35%,49%,26%,55%,53%,48%,30%,55%,36%,52%,38%,100%,0%,0%,94%,4%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",55%,60%,49%,44%,61%,58%,50%,63%,20%,46%,59%,63%,41%,46%,60%,47%,72%,43%,39%,47%,68%,37%,60%,48%,57%,0%,100%,0%,3%,95%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,4%,4%,4%,3%,5%,4%,2%,7%,7%,<.5%,2%,5%,3%,5%,4%,1%,2%,8%,6%,3%,7%,4%,0%,5%,0%,0%,100%,3%,<1%
