itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
How satisfied are you with the way things are going in your life these days?,Very satisfied,36%,35%,37%,29%,38%,40%,31%,35%,40%,34%,44%,33%,47%,28%,42%,37%,46%,27%,41%,37%,32%,37%,34%,40%,45%,31%,33%,47%,32%,29%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,38%,36%,40%,54%,33%,36%,34%,37%,39%,37%,38%,37%,37%,38%,42%,36%,31%,41%,35%,38%,42%,44%,39%,34%,42%,36%,32%,41%,32%,54%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,11%,12%,9%,10%,10%,9%,16%,10%,9%,15%,7%,12%,6%,12%,7%,14%,13%,15%,9%,10%,7%,3%,14%,8%,7%,14%,10%,6%,13%,14%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,11%,13%,9%,5%,13%,12%,13%,14%,7%,11%,7%,13%,8%,17%,5%,10%,7%,9%,11%,8%,17%,16%,7%,14%,4%,16%,11%,3%,19%,2%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,5%,5%,5%,2%,5%,3%,7%,4%,5%,3%,4%,4%,2%,5%,4%,3%,3%,8%,4%,7%,2%,0%,6%,4%,3%,3%,14%,3%,4%,<1%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,74%,71%,77%,83%,72%,76%,64%,72%,79%,72%,82%,70%,83%,65%,85%,73%,77%,68%,76%,75%,74%,81%,73%,74%,86%,66%,65%,88%,64%,84%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,21%,25%,18%,15%,23%,21%,29%,24%,16%,25%,14%,26%,15%,29%,12%,23%,20%,24%,19%,18%,24%,19%,21%,23%,10%,30%,21%,9%,32%,16%
How satisfied are you with the way things are going in your life these days?,Number of respondents,604,265,333,170,157,165,87,317,175,90,267,331,147,168,108,154,109,109,107,129,150,66,303,235,237,289,78,182,227,61
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,52%,19%,25%,31%,21%,53%,30%,14%,35%,63%,19%,33%,15%,28%,18%,18%,17%,22%,26%,10%,51%,39%,39%,49%,12%,31%,39%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",DeKalb / Fulton,Inner Atlanta Suburbs,North,Outer Atlanta Suburbs,South,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Almost certain,40%,42%,38%,21%,31%,57%,40%,48%,30%,36%,43%,39%,48%,48%,37%,29%,39%,41%,40%,39%,42%,43%,40%,40%,44%,42%,21%,47%,46%,36%
How satisfied are you with the way things are going in your life these days?,Very likely,37%,41%,33%,39%,41%,32%,40%,36%,38%,36%,41%,35%,39%,35%,45%,35%,39%,33%,37%,41%,35%,30%,37%,39%,41%,37%,22%,43%,38%,38%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,9%,7%,12%,24%,7%,4%,7%,6%,12%,13%,6%,11%,5%,7%,7%,15%,10%,9%,11%,9%,8%,8%,10%,9%,7%,10%,15%,5%,8%,15%
