itm,v1,georgia_likely_electorate_georgia_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dekalb_fulton,region_inner_atlanta_suburbs,region_north,region_outer_atlanta_suburbs,region_south,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,georgia_likely_electorate_2,men_5,women_3,x18_29_5,x30_44_0,x45_64_2,x65_3,white_1,black_3,oth_2,b_a_0,no_b_a_3,white_college_0,white_no_college_2,non_white_college_0,non_white_no_college_4,dekalb_fulton_1,inner_atlanta_suburbs_2,north_2,outer_atlanta_suburbs_2,south_2,city_3,suburb_1,rural_small_town_2,harris_2,trump_1,oth_4,dem_2,rep_2,ind_1
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,24%,23%,24%,25%,23%,23%,24%,16%,39%,27%,30%,20%,25%,10%,41%,33%,35%,28%,10%,22%,24%,24%,31%,15%,47%,4%,15%,54%,1%,22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,67%,69%,66%,69%,65%,67%,69%,78%,50%,57%,61%,71%,68%,84%,48%,54%,58%,61%,80%,65%,71%,69%,60%,76%,39%,93%,70%,35%,96%,65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,9%,8%,10%,6%,12%,10%,6%,6%,11%,16%,9%,9%,8%,5%,11%,13%,7%,11%,10%,13%,5%,7%,10%,9%,14%,4%,15%,11%,3%,12%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,682,309,366,122,166,232,142,375,214,80,301,375,186,186,110,184,122,117,111,157,175,84,340,258,306,331,45,201,209,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,64%,61%,66%,54%,56%,70%,64%,70%,55%,61%,69%,60%,78%,64%,55%,58%,59%,70%,65%,58%,66%,60%,63%,65%,66%,66%,24%,66%,68%,59%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,28%,29%,27%,30%,33%,24%,30%,24%,35%,28%,24%,31%,16%,29%,35%,32%,34%,21%,27%,31%,28%,33%,27%,28%,29%,25%,39%,31%,27%,27%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,5%,5%,5%,9%,8%,4%,3%,3%,8%,8%,5%,6%,3%,3%,7%,8%,3%,6%,5%,7%,5%,2%,6%,4%,4%,5%,18%,3%,3%,9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,2%,<1%,4%,<1%,<.5%,2%,2%,<.5%,2%,<1%,2%,<1%,3%,<1%,<.5%,<.5%,3%,<.5%,2%,<1%,<1%,2%,<1%,<.5%,1%,9%,<.5%,<.5%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,2%,<1%,2%,3%,<.5%,<1%,<1%,2%,<1%,<1%,1%,0%,1%,2%,1%,1%,<1%,1%,2%,<1%,2%,1%,<1%,<.5%,1%,5%,<.5%,<.5%,2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
