itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
How satisfied are you with the way things are going in your life these days?,Very satisfied,33%,38%,28%,25%,33%,26%,43%,34%,26%,31%,38%,29%,39%,30%,35%,25%,27%,36%,32%,38%,28%,31%,33%,35%,39%,30%,24%,44%,31%,19%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,38%,36%,41%,46%,40%,44%,30%,36%,55%,42%,46%,36%,44%,32%,49%,50%,58%,38%,39%,30%,38%,51%,38%,35%,46%,32%,42%,43%,30%,49%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,12%,10%,14%,20%,12%,11%,9%,13%,10%,11%,8%,14%,9%,15%,8%,12%,5%,12%,13%,7%,17%,8%,12%,13%,10%,13%,16%,8%,11%,16%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,14%,14%,15%,8%,12%,18%,16%,16%,6%,16%,7%,18%,7%,20%,7%,12%,11%,13%,13%,21%,15%,8%,15%,15%,4%,24%,9%,4%,26%,14%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,2%,2%,3%,<.5%,4%,<1%,2%,2%,3%,0%,1%,3%,1%,2%,1%,2%,0%,<1%,3%,4%,2%,2%,2%,3%,1%,1%,9%,1%,1%,2%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,72%,74%,69%,71%,72%,70%,73%,70%,81%,73%,84%,65%,83%,62%,85%,75%,85%,74%,71%,68%,65%,82%,71%,70%,85%,62%,66%,87%,61%,68%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,26%,24%,28%,28%,24%,29%,25%,28%,16%,27%,15%,32%,16%,35%,14%,23%,15%,25%,25%,28%,33%,16%,28%,27%,14%,37%,25%,12%,38%,30%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Detroit,Detroit Metro,East,North,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Almost certain,54%,55%,53%,30%,47%,63%,62%,58%,32%,41%,63%,49%,68%,53%,42%,33%,39%,52%,54%,60%,58%,50%,53%,57%,62%,52%,31%,65%,60%,33%
How satisfied are you with the way things are going in your life these days?,Very likely,23%,23%,24%,25%,22%,22%,25%,24%,27%,12%,24%,23%,23%,25%,29%,17%,34%,23%,19%,24%,25%,31%,20%,24%,24%,23%,18%,24%,25%,27%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,10%,8%,12%,22%,16%,3%,5%,8%,15%,19%,8%,11%,6%,10%,19%,16%,20%,11%,9%,6%,8%,12%,12%,6%,7%,10%,19%,5%,7%,19%
How satisfied are you with the way things are going in your life these days?,Not very likely,4%,6%,3%,10%,3%,5%,2%,3%,12%,9%,2%,6%,1%,4%,7%,13%,2%,5%,5%,2%,4%,3%,6%,2%,3%,5%,10%,2%,2%,9%
How satisfied are you with the way things are going in your life these days?,Not at all likely,8%,7%,9%,13%,10%,6%,6%,6%,13%,19%,2%,11%,2%,7%,3%,21%,4%,7%,12%,5%,5%,3%,8%,9%,5%,9%,17%,3%,5%,9%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,<1%,1%,<.5%,0%,2%,0%,<.5%,<1%,<1%,0%,<.5%,1%,0%,1%,0%,<1%,1%,<1%,<1%,2%,0%,<1%,<1%,<1%,0%,<1%,6%,0%,<1%,3%
How satisfied are you with the way things are going in your life these days?,Number of respondents,616,326,287,89,174,186,141,462,80,54,269,342,215,245,47,87,38,200,195,97,86,76,308,232,254,301,61,219,236,57
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,50%,50%,16%,24%,30%,25%,74%,12%,10%,32%,66%,25%,49%,7%,15%,6%,33%,32%,16%,14%,12%,50%,38%,42%,49%,9%,36%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
