itm,v1,michigan_likely_electorate_michigan_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_detroit,region_detroit_metro,region_east,region_north,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,29%,28%,30%,26%,24%,30%,33%,28%,42%,27%,35%,25%,38%,23%,34%,34%,37%,34%,26%,22%,27%,36%,35%,20%,53%,5%,22%,56%,6%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,61%,63%,60%,60%,69%,59%,60%,63%,50%,60%,54%,65%,52%,68%,56%,55%,52%,56%,64%,66%,65%,53%,55%,71%,34%,91%,42%,32%,88%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,10%,9%,10%,14%,7%,11%,7%,9%,8%,13%,11%,9%,10%,9%,10%,11%,11%,10%,10%,11%,8%,11%,10%,9%,13%,4%,36%,12%,5%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,688,359,322,115,154,214,184,498,82,86,264,418,180,316,72,95,43,224,221,109,91,94,316,278,315,315,58,191,170,257
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,67%,66%,67%,55%,57%,70%,74%,70%,51%,56%,70%,65%,71%,70%,64%,47%,54%,62%,70%,74%,65%,67%,64%,69%,69%,66%,49%,70%,68%,62%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,23%,26%,27%,31%,24%,21%,22%,36%,30%,21%,26%,22%,22%,20%,42%,34%,27%,20%,20%,30%,24%,26%,23%,24%,27%,8%,24%,28%,24%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,4%,5%,4%,12%,6%,4%,<1%,4%,6%,4%,5%,4%,5%,4%,6%,5%,8%,5%,5%,3%,2%,4%,4%,5%,4%,3%,15%,3%,2%,6%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,<1%,1%,2%,3%,<.5%,<.5%,<.5%,<1%,6%,2%,<1%,1%,<.5%,5%,3%,0%,2%,<1%,<.5%,0%,<.5%,2%,<.5%,<1%,<1%,4%,0%,<.5%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,2%,3%,1%,3%,2%,2%,1%,1%,4%,3%,2%,2%,<1%,2%,4%,3%,2%,2%,2%,2%,1%,<1%,2%,2%,<1%,1%,19%,2%,<.5%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,1%,3%,<.5%,<1%,<1%,<1%,3%,2%,1%,0%,<.5%,2%,<.5%,2%,<1%,<.5%,2%,1%,2%,<.5%,1%,4%,1%,<1%,<1%,1%,6%,<.5%,1%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,688,359,322,115,154,214,184,498,82,86,264,418,180,316,72,95,43,224,221,109,91,94,316,278,315,315,58,191,170,257
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",48%,35%,59%,45%,43%,49%,51%,46%,77%,42%,53%,45%,52%,43%,61%,56%,82%,49%,46%,47%,38%,76%,49%,39%,100%,0%,0%,97%,5%,43%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",47%,57%,37%,46%,50%,45%,46%,50%,14%,54%,39%,50%,42%,53%,28%,39%,16%,44%,47%,51%,58%,19%,44%,57%,0%,100%,0%,2%,93%,49%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,8%,4%,9%,7%,6%,3%,5%,10%,4%,7%,5%,6%,5%,10%,5%,2%,7%,7%,2%,4%,5%,7%,5%,0%,0%,100%,1%,2%,7%
