itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,25%,30%,21%,23%,23%,23%,30%,23%,31%,32%,23%,28%,23%,28%,20%,30%,28%,19%,27%,25%,29%,34%,26%,18%,47%,6%,16%,49%,9%,20%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,65%,62%,68%,68%,64%,69%,58%,68%,55%,57%,60%,62%,67%,64%,71%,53%,60%,69%,62%,67%,60%,54%,63%,74%,40%,88%,67%,40%,87%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,10%,9%,11%,8%,12%,8%,12%,9%,14%,12%,16%,10%,10%,8%,9%,17%,12%,11%,11%,9%,10%,12%,11%,8%,13%,6%,16%,11%,4%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Almost certain,57%,61%,54%,38%,55%,58%,69%,63%,46%,38%,50%,62%,54%,64%,62%,54%,38%,70%,64%,54%,45%,55%,55%,61%,61%,57%,34%,59%,60%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very likely,33%,31%,35%,45%,36%,32%,23%,31%,40%,44%,35%,31%,34%,29%,31%,37%,42%,24%,28%,36%,42%,36%,35%,29%,30%,35%,35%,33%,35%,28%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat likely,5%,4%,7%,12%,4%,4%,4%,3%,8%,10%,6%,3%,7%,3%,4%,4%,11%,4%,3%,6%,7%,5%,5%,6%,5%,3%,18%,4%,2%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not very likely,1%,2%,1%,1%,3%,<1%,<1%,1%,4%,2%,0%,1%,1%,1%,<1%,2%,2%,1%,3%,<1%,<1%,1%,2%,1%,<1%,1%,4%,<1%,<.5%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all likely,2%,1%,3%,3%,2%,2%,<1%,<1%,1%,5%,7%,1%,2%,<1%,<1%,2%,5%,2%,2%,1%,3%,2%,3%,1%,1%,2%,6%,1%,1%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,2%,<1%,<.5%,<1%,2%,2%,1%,2%,2%,2%,1%,2%,2%,<1%,<1%,3%,0%,<1%,3%,2%,1%,1%,2%,2%,1%,4%,1%,<1%,<1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",44%,42%,46%,54%,43%,37%,51%,41%,71%,43%,41%,55%,36%,56%,30%,54%,50%,41%,45%,41%,51%,61%,47%,30%,100%,0%,0%,90%,6%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",48%,49%,47%,41%,48%,55%,42%,52%,20%,45%,47%,38%,55%,40%,61%,33%,42%,55%,43%,51%,41%,33%,44%,62%,0%,100%,0%,7%,91%,41%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,8%,9%,7%,5%,9%,8%,7%,7%,9%,11%,12%,7%,9%,4%,8%,13%,9%,4%,12%,8%,8%,6%,9%,8%,0%,0%,100%,2%,3%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",37%,35%,39%,44%,38%,29%,45%,33%,65%,35%,39%,48%,29%,47%,24%,51%,42%,32%,42%,34%,43%,53%,39%,25%,82%,2%,<.5%,84%,1%,36%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Nikki Haley, the Republican",46%,46%,46%,37%,42%,55%,43%,52%,25%,43%,30%,40%,50%,44%,58%,29%,37%,50%,43%,51%,38%,33%,42%,59%,14%,76%,45%,13%,80%,45%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another candidate,4%,5%,3%,7%,4%,4%,2%,3%,<1%,8%,11%,4%,4%,3%,3%,7%,6%,4%,3%,3%,6%,3%,5%,3%,<1%,6%,9%,<1%,5%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Not going to vote/wouldn't vote if those were the choices,8%,8%,8%,8%,9%,8%,7%,8%,4%,7%,13%,5%,9%,4%,10%,8%,7%,10%,8%,6%,7%,4%,8%,9%,<.5%,13%,20%,<1%,10%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,6%,5%,4%,7%,3%,3%,4%,5%,7%,7%,3%,7%,3%,5%,4%,8%,5%,3%,6%,6%,7%,5%,4%,4%,3%,26%,2%,3%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",And who would you vote for if the candidates were:,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Kamala [COMMA-luh] Harris, the Democrat",42%,39%,46%,51%,42%,36%,48%,39%,77%,35%,40%,52%,36%,52%,30%,54%,48%,38%,44%,40%,49%,58%,46%,28%,91%,2%,13%,89%,5%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",48%,49%,47%,42%,48%,55%,42%,53%,17%,47%,45%,38%,55%,39%,62%,33%,39%,56%,44%,51%,40%,34%,43%,62%,2%,97%,8%,6%,91%,43%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Another candidate,1%,1%,1%,<1%,3%,<1%,<1%,<1%,<.5%,1%,4%,2%,<1%,2%,<.5%,3%,<1%,2%,2%,<1%,1%,1%,<1%,1%,<1%,<.5%,7%,<1%,<.5%,2%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Not going to vote/wouldn't vote if those were the choices,4%,5%,4%,5%,4%,3%,4%,4%,1%,6%,5%,5%,4%,5%,3%,4%,4%,2%,6%,3%,5%,2%,6%,4%,2%,<.5%,39%,1%,1%,8%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,5%,6%,3%,1%,3%,5%,5%,3%,5%,11%,5%,3%,5%,2%,4%,5%,8%,2%,5%,5%,5%,5%,4%,5%,3%,<1%,33%,2%,2%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,48%,51%,13%,21%,34%,26%,67%,10%,13%,8%,41%,58%,28%,38%,12%,19%,22%,20%,35%,23%,22%,42%,36%,44%,48%,8%,29%,32%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?",(Recoded to age) In what year were you born?,Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
