itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,26%,26%,26%,22%,18%,28%,33%,25%,31%,26%,22%,30%,23%,32%,21%,25%,28%,27%,29%,24%,24%,32%,28%,19%,48%,6%,10%,45%,7%,25%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,65%,67%,64%,72%,69%,67%,56%,67%,59%,59%,63%,59%,69%,57%,74%,66%,57%,63%,55%,69%,69%,57%,61%,75%,37%,91%,74%,41%,90%,64%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,9%,8%,11%,6%,13%,5%,10%,8%,10%,15%,15%,11%,8%,11%,5%,9%,16%,10%,16%,7%,7%,11%,11%,7%,15%,3%,16%,14%,2%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,53%,12%,22%,33%,28%,68%,10%,10%,7%,40%,59%,28%,40%,11%,17%,22%,20%,35%,24%,22%,43%,35%,46%,47%,7%,33%,28%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Likely Electorate,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Likely Electorate,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Almost certain,64%,68%,60%,42%,63%,65%,68%,69%,49%,44%,53%,69%,59%,74%,66%,58%,40%,68%,63%,64%,58%,66%,62%,64%,66%,64%,46%,66%,65%,61%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very likely,27%,24%,28%,35%,27%,27%,25%,24%,35%,43%,23%,24%,28%,22%,25%,31%,39%,24%,26%,26%,30%,26%,26%,27%,25%,29%,25%,26%,30%,27%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat likely,5%,4%,6%,15%,5%,3%,3%,3%,9%,6%,18%,4%,6%,2%,4%,8%,13%,4%,6%,6%,4%,4%,7%,3%,5%,4%,14%,5%,2%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not very likely,1%,<1%,1%,4%,1%,<1%,<.5%,<1%,2%,2%,3%,<1%,1%,<.5%,<1%,2%,3%,<1%,<1%,<1%,2%,1%,<1%,1%,1%,<.5%,4%,1%,<.5%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all likely,3%,2%,3%,3%,3%,2%,3%,2%,5%,4%,3%,1%,4%,1%,3%,1%,6%,3%,2%,2%,4%,2%,4%,2%,3%,2%,8%,1%,2%,4%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
