itm,v1,likely_voters_likely_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Very satisfied,37%,39%,37%,35%,36%,34%,40%,37%,37%,32%,39%,33%,41%,38%,35%,37%,28%,43%,33%,45%,33%,39%,32%,37%,37%,37%,43%,31%,39%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,37%,35%,38%,38%,32%,41%,40%,36%,38%,50%,39%,38%,32%,36%,45%,37%,46%,38%,37%,38%,36%,41%,43%,40%,37%,36%,44%,31%,40%,43%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,11%,11%,10%,11%,13%,10%,9%,10%,11%,12%,11%,12%,10%,11%,9%,10%,8%,8%,12%,8%,13%,6%,10%,9%,12%,10%,7%,14%,8%,7%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,12%,10%,10%,14%,15%,11%,9%,13%,10%,5%,10%,13%,13%,12%,8%,11%,12%,7%,14%,7%,15%,9%,11%,11%,11%,13%,3%,20%,7%,3%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,3%,4%,4%,2%,3%,4%,3%,3%,4%,1%,2%,4%,4%,3%,4%,5%,5%,3%,3%,3%,3%,5%,4%,3%,4%,3%,3%,4%,6%,3%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,74%,75%,75%,73%,68%,75%,79%,73%,75%,82%,78%,71%,73%,74%,80%,74%,75%,82%,70%,83%,68%,80%,74%,77%,74%,73%,87%,62%,79%,88%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,22%,21%,21%,25%,28%,21%,17%,23%,21%,16%,20%,25%,23%,23%,16%,21%,21%,15%,27%,15%,29%,15%,21%,20%,22%,23%,10%,34%,15%,9%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Likely Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Likely Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Almost certain,56%,50%,48%,63%,47%,62%,64%,58%,54%,40%,51%,62%,59%,60%,43%,40%,46%,61%,52%,66%,56%,46%,41%,55%,55%,57%,58%,57%,32%,62%
How satisfied are you with the way things are going in your life these days?,Very likely,34%,39%,41%,25%,38%,30%,28%,33%,34%,40%,36%,31%,34%,33%,36%,36%,35%,31%,35%,28%,36%,43%,33%,33%,34%,34%,33%,34%,31%,33%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,6%,6%,6%,7%,8%,5%,4%,5%,7%,15%,7%,4%,3%,4%,9%,16%,10%,4%,7%,3%,4%,7%,14%,6%,6%,5%,5%,5%,17%,3%
How satisfied are you with the way things are going in your life these days?,Not very likely,2%,2%,2%,2%,3%,1%,<1%,2%,2%,3%,2%,2%,<1%,<1%,4%,4%,4%,1%,2%,<1%,1%,2%,4%,2%,2%,<1%,1%,1%,6%,<1%
How satisfied are you with the way things are going in your life these days?,Not at all likely,2%,1%,2%,2%,3%,2%,2%,1%,2%,2%,2%,2%,2%,1%,5%,3%,4%,1%,2%,1%,1%,1%,5%,3%,2%,2%,1%,2%,7%,<1%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,2%,2%,<1%,2%,<1%,<1%,1%,1%,<.5%,1%,<1%,2%,1%,3%,<1%,1%,1%,1%,<1%,1%,1%,2%,1%,1%,1%,<1%,<1%,7%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,13%,21%,33%,28%,72%,10%,9%,6%,37%,62%,28%,44%,8%,16%,23%,42%,36%,43%,49%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
