itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",Right track/direction,24%,25%,22%,16%,23%,22%,30%,22%,25%,38%,28%,30%,19%,29%,15%,32%,28%,25%,23%,20%,28%,28%,24%,21%,45%,5%,13%,44%,5%,24%
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",Wrong direction/track,66%,65%,68%,73%,63%,72%,60%,70%,61%,51%,58%,60%,72%,62%,77%,54%,60%,68%,66%,69%,62%,61%,66%,70%,39%,91%,71%,42%,92%,65%
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",[VOLUNTEERED] Don't know/Refused,10%,10%,10%,10%,14%,6%,9%,8%,14%,10%,14%,11%,9%,9%,8%,14%,12%,8%,11%,11%,10%,12%,10%,9%,15%,4%,16%,14%,3%,12%
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,25%,27%,24%,21%,22%,24%,33%,25%,26%,34%,23%,31%,21%,31%,20%,31%,26%,28%,23%,24%,27%,28%,27%,22%,45%,5%,20%,41%,7%,25%
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,64%,64%,65%,69%,65%,70%,56%,66%,67%,52%,61%,59%,68%,60%,70%,56%,63%,62%,68%,64%,62%,60%,63%,68%,39%,91%,56%,42%,90%,64%
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,11%,9%,12%,10%,14%,6%,12%,9%,8%,14%,15%,10%,11%,9%,10%,13%,11%,9%,9%,12%,10%,12%,10%,10%,15%,3%,25%,17%,3%,10%
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,607,298,302,91,142,193,153,396,72,73,47,291,311,209,185,77,113,121,121,226,139,141,260,206,263,280,64,165,151,231
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",Right direction,22%,24%,21%,13%,25%,19%,28%,18%,24%,43%,33%,28%,17%,28%,10%,33%,31%,22%,24%,16%,29%,28%,20%,20%,45%,5%,6%,47%,3%,21%
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",Wrong track,69%,66%,70%,76%,60%,74%,65%,74%,54%,51%,55%,61%,75%,63%,84%,52%,56%,72%,63%,74%,62%,61%,70%,72%,39%,90%,88%,42%,94%,65%
