itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,23%,23%,23%,12%,20%,22%,30%,20%,34%,27%,30%,27%,19%,27%,15%,30%,32%,23%,24%,19%,27%,24%,25%,19%,43%,7%,11%,47%,6%,14%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,69%,71%,67%,78%,71%,72%,61%,73%,53%,66%,60%,63%,73%,64%,79%,61%,58%,71%,69%,73%,60%,63%,67%,74%,45%,89%,69%,42%,90%,76%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,8%,7%,10%,9%,9%,6%,9%,7%,13%,7%,10%,9%,8%,9%,6%,9%,11%,6%,7%,7%,13%,13%,8%,7%,11%,4%,19%,11%,4%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,63%,62%,63%,46%,61%,65%,69%,68%,53%,46%,50%,68%,59%,72%,65%,56%,48%,72%,65%,64%,51%,59%,62%,66%,65%,65%,40%,67%,68%,50%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,27%,26%,27%,33%,25%,27%,23%,24%,32%,35%,34%,24%,28%,21%,26%,33%,33%,19%,24%,27%,36%,28%,28%,25%,27%,27%,21%,27%,27%,25%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,5%,5%,5%,14%,7%,3%,2%,4%,9%,10%,4%,4%,6%,4%,4%,4%,10%,4%,6%,4%,6%,7%,5%,4%,5%,4%,16%,4%,2%,9%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,2%,2%,2%,3%,2%,1%,<1%,1%,2%,2%,4%,1%,2%,1%,1%,3%,2%,2%,2%,1%,2%,1%,2%,1%,<1%,1%,9%,<.5%,<1%,7%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,2%,2%,2%,2%,3%,2%,1%,1%,2%,3%,4%,1%,2%,1%,2%,2%,3%,2%,2%,2%,2%,3%,1%,2%,1%,1%,9%,<1%,<.5%,6%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,2%,3%,2%,<1%,2%,2%,4%,2%,3%,4%,4%,1%,2%,1%,2%,2%,3%,2%,<1%,2%,4%,2%,2%,2%,2%,2%,6%,2%,2%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",43%,34%,51%,48%,43%,37%,48%,39%,79%,47%,39%,55%,35%,54%,28%,61%,54%,43%,48%,37%,49%,56%,46%,32%,100%,0%,0%,100%,0%,38%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",49%,57%,43%,45%,49%,55%,45%,56%,14%,46%,45%,37%,58%,40%,67%,27%,37%,52%,44%,56%,42%,35%,45%,63%,0%,100%,0%,0%,100%,40%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,7%,9%,6%,7%,8%,8%,6%,6%,8%,7%,16%,9%,7%,7%,5%,12%,9%,5%,8%,7%,9%,9%,8%,5%,0%,0%,100%,0%,0%,23%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",37%,30%,42%,34%,36%,33%,43%,34%,62%,36%,31%,49%,29%,49%,24%,50%,42%,37%,41%,30%,42%,46%,40%,28%,85%,0%,0%,100%,0%,0%
