itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,29%,32%,27%,27%,22%,29%,36%,26%,39%,36%,38%,34%,26%,32%,21%,39%,37%,25%,32%,25%,36%,32%,32%,24%,52%,7%,25%,54%,7%,31%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,60%,59%,60%,63%,63%,62%,54%,64%,47%,54%,53%,51%,66%,54%,71%,43%,55%,65%,58%,65%,50%,56%,58%,65%,35%,86%,53%,33%,88%,58%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,11%,9%,13%,11%,15%,8%,10%,11%,14%,11%,9%,15%,8%,14%,8%,18%,7%,10%,11%,9%,14%,12%,11%,10%,14%,7%,22%,14%,6%,11%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,142",557,576,185,296,393,231,757,124,121,110,583,549,420,333,148,205,246,236,395,265,239,525,378,548,530,64,492,463,72
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,67%,66%,68%,45%,66%,70%,75%,71%,62%,59%,53%,69%,66%,72%,70%,59%,58%,74%,72%,66%,58%,63%,65%,72%,70%,65%,59%,71%,67%,59%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,25%,25%,37%,23%,24%,22%,24%,22%,31%,33%,24%,25%,23%,23%,27%,29%,19%,21%,27%,30%,23%,27%,24%,22%,29%,19%,22%,29%,19%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,5%,5%,4%,14%,6%,4%,<1%,4%,10%,6%,7%,4%,5%,2%,5%,10%,7%,4%,4%,4%,7%,8%,5%,3%,5%,4%,10%,4%,3%,16%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<1%,<1%,<1%,1%,1%,<1%,<.5%,<1%,1%,2%,<1%,<1%,<1%,<1%,<.5%,<1%,1%,2%,<1%,<.5%,<1%,1%,<1%,<1%,<1%,<.5%,5%,<.5%,<.5%,5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,1%,1%,2%,2%,<1%,<1%,<.5%,2%,2%,4%,<1%,1%,<1%,<.5%,1%,3%,<1%,2%,1%,<1%,2%,1%,<.5%,1%,<.5%,5%,<1%,<.5%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
