itm,v1,likely_electorate_likely_electorate,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,64%,59%,69%,65%,66%,63%,50%,62%,65%,67%,66%,50%,56%,70%,61%,71%,64%,65%,47%,61%,64%,66%,66%,65%,43%,67%,66%,40%,43%,68%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,30%,34%,26%,30%,29%,31%,41%,30%,30%,28%,29%,37%,34%,27%,32%,26%,31%,29%,39%,33%,29%,30%,31%,30%,24%,30%,30%,36%,25%,29%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,3%,3%,3%,2%,2%,3%,6%,3%,3%,2%,2%,8%,5%,1%,4%,<1%,3%,3%,8%,3%,3%,2%,2%,3%,10%,2%,2%,12%,10%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<1%,<1%,<.5%,<1%,<1%,<1%,<1%,2%,<1%,<.5%,<1%,1%,1%,<1%,<1%,<1%,<1%,2%,1%,<.5%,<1%,<1%,<.5%,<.5%,7%,<.5%,<.5%,5%,3%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,2%,1%,<1%,2%,1%,1%,3%,<1%,1%,1%,3%,2%,1%,2%,1%,1%,1%,4%,2%,2%,<1%,<1%,1%,9%,<1%,<1%,3%,15%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,<1%,<1%,<.5%,1%,1%,<1%,1%,<1%,<1%,<1%,<1%,0%,2%,<1%,1%,<1%,<1%,0%,1%,<1%,1%,<1%,<.5%,1%,6%,<.5%,1%,4%,3%,<.5%
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",50%,50%,50%,50%,41%,58%,56%,50%,44%,55%,48%,81%,50%,59%,45%,59%,42%,64%,65%,70%,53%,40%,100%,0%,0%,100%,0%,25%,23%,95%
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,46%,46%,46%,55%,38%,41%,44%,52%,42%,49%,13%,45%,36%,51%,37%,55%,27%,32%,25%,43%,57%,0%,100%,0%,0%,100%,44%,19%,3%
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,5%,4%,3%,4%,4%,3%,6%,5%,3%,3%,6%,5%,5%,4%,4%,3%,9%,4%,6%,4%,3%,0%,0%,100%,0%,0%,31%,58%,1%
