itm,v1,u_s_likely_electorate_u_s_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,sub_poll_phil,sub_poll_rest_of_pa,sub_poll_rest_of_u_s,x2024_vote_head_to_head_harris
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,60%,60%,60%,43%,59%,65%,62%,66%,49%,44%,45%,66%,46%,67%,56%,72%,61%,52%,42%,75%,67%,52%,52%,60%,58%,63%,67%,68%,60%,63%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,31%,30%,32%,36%,33%,27%,32%,28%,44%,34%,42%,28%,40%,29%,33%,24%,31%,41%,40%,19%,26%,37%,38%,29%,34%,29%,25%,27%,31%,32%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,4%,5%,4%,14%,4%,3%,2%,3%,3%,12%,5%,3%,7%,2%,5%,2%,4%,3%,9%,3%,3%,4%,6%,6%,4%,3%,3%,2%,4%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,2%,<1%,4%,<.5%,1%,<.5%,<1%,<1%,3%,<.5%,<1%,2%,<1%,1%,<.5%,1%,2%,2%,<.5%,<1%,2%,1%,2%,1%,<1%,<1%,<1%,1%,<1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,2%,2%,1%,2%,2%,1%,1%,1%,2%,3%,4%,1%,3%,1%,2%,1%,1%,1%,4%,1%,1%,2%,3%,2%,1%,2%,1%,1%,2%,<1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,2%,1%,2%,1%,<1%,2%,3%,1%,<1%,2%,4%,1%,2%,<1%,2%,<1%,2%,<1%,3%,<1%,3%,3%,<.5%,1%,2%,3%,3%,1%,2%,<1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"2,437","1,122","1,283",434,627,726,526,"1,540",349,243,215,"1,540",807,"1,159","1,248",788,740,333,467,304,"1,312",493,328,771,969,697,408,674,"1,355","1,276"
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",47%,40%,54%,58%,49%,47%,44%,43%,79%,51%,46%,43%,60%,61%,38%,61%,30%,66%,57%,43%,54%,43%,52%,59%,56%,29%,79%,47%,47%,100%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",47%,54%,42%,37%,45%,49%,51%,54%,15%,39%,43%,54%,31%,35%,56%,36%,66%,28%,33%,52%,42%,52%,41%,34%,39%,65%,16%,50%,47%,0%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,7%,4%,5%,7%,4%,5%,3%,7%,10%,11%,3%,9%,4%,6%,3%,4%,6%,11%,5%,4%,5%,7%,6%,5%,5%,5%,3%,5%,0%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",46%,39%,53%,56%,47%,46%,44%,43%,77%,49%,42%,43%,57%,60%,37%,60%,30%,64%,53%,42%,53%,43%,50%,58%,54%,29%,76%,46%,46%,98%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,52%,41%,33%,44%,49%,50%,53%,14%,38%,42%,53%,30%,34%,55%,35%,65%,27%,32%,50%,41%,51%,40%,34%,38%,64%,16%,48%,46%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%,0%,<.5%,0%,0%,<.5%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,2%,1%,4%,2%,1%,<1%,1%,2%,2%,4%,1%,2%,2%,2%,1%,1%,2%,3%,2%,<1%,<1%,3%,1%,2%,1%,3%,1%,2%,1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,<.5%,<.5%,0%,<.5%,0%,<.5%,<.5%,<.5%,<.5%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,2%,<1%,2%,1%,1%,2%,<1%,<1%,4%,3%,<1%,2%,1%,2%,<1%,1%,2%,2%,1%,<1%,2%,2%,2%,1%,2%,<1%,1%,2%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<.5%,<.5%,0%,<1%,<.5%,0%,<.5%,0%,0%,2%,<.5%,<1%,<.5%,<.5%,<.5%,0%,0%,<1%,0%,<.5%,<.5%,0%,<.5%,<.5%,0%,<.5%,<.5%,<.5%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,1%,<1%,1%,1%,1%,<.5%,1%,<.5%,3%,2%,3%,<.5%,3%,<1%,1%,<1%,<.5%,2%,3%,<1%,<1%,1%,2%,2%,<1%,<1%,<.5%,<1%,1%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,3%,3%,3%,3%,3%,2%,3%,2%,2%,7%,5%,2%,4%,2%,4%,2%,3%,3%,6%,4%,4%,2%,3%,3%,3%,3%,4%,2%,3%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares,MARGIN Even Calculated using candidates’ unrounded vote shares
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Definitely,86%,84%,88%,72%,86%,87%,89%,87%,86%,75%,82%,87%,81%,88%,84%,90%,86%,85%,78%,84%,88%,87%,83%,85%,86%,86%,87%,89%,86%,89%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Probably,12%,13%,11%,26%,13%,10%,8%,11%,11%,21%,17%,11%,16%,10%,13%,9%,12%,12%,19%,13%,9%,10%,16%,12%,12%,12%,11%,10%,12%,10%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",[VOL] Don't know/Refused,2%,3%,2%,2%,1%,3%,3%,2%,3%,4%,1%,2%,3%,2%,3%,2%,2%,3%,2%,3%,3%,3%,1%,2%,3%,2%,2%,2%,2%,2%
"(If candidate selected, including third-party candidates)  Are you definitely or probably going to vote for [CANDIDATE SELECTED]?",Number of respondents,"2,308","1,054","1,223",410,595,691,501,"1,496",326,219,192,"1,496",737,"1,120","1,162",769,716,317,415,285,"1,248",471,304,725,916,667,384,646,"1,278","1,265"
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",14%,10%,20%,16%,21%,20%,4%,9%,18%,17%,24%,9%,20%,18%,12%,21%,1%,17%,22%,14%,15%,6%,20%,12%,19%,8%,40%,24%,13%,100%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",14%,16%,10%,40%,7%,5%,13%,23%,1%,12%,6%,23%,7%,17%,12%,22%,24%,13%,5%,27%,12%,13%,5%,2%,13%,21%,<1%,18%,13%,0%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,73%,74%,70%,45%,71%,75%,83%,68%,80%,70%,70%,68%,73%,65%,76%,57%,75%,70%,73%,58%,73%,81%,75%,86%,68%,71%,60%,58%,73%,0%
"(Leaners, if not supporting Trump or Harris in previous multi-candidate questions) If you had to decide between the two today, would you lean more toward:",Number of respondents,229,122,103,55,69,55,33,95,34,37,42,95,113,87,138,46,48,34,77,33,110,39,47,83,86,60,45,46,138,49
(Responses reclassified by age group) In what year were you born?,18-29,13%,12%,12%,100%,0%,0%,0%,10%,12%,29%,22%,10%,21%,9%,16%,7%,12%,14%,25%,13%,11%,10%,17%,18%,13%,9%,15%,12%,13%,15%
(Responses reclassified by age group) In what year were you born?,30-44,22%,21%,22%,0%,100%,0%,0%,20%,22%,22%,36%,20%,26%,26%,19%,25%,16%,29%,24%,17%,20%,24%,24%,26%,22%,19%,29%,21%,22%,22%
(Responses reclassified by age group) In what year were you born?,45-64,33%,34%,33%,0%,0%,100%,0%,34%,40%,28%,27%,34%,32%,37%,30%,37%,31%,40%,27%,32%,36%,35%,29%,33%,34%,32%,28%,32%,33%,33%
(Responses reclassified by age group) In what year were you born?,65+,28%,29%,28%,0%,0%,0%,100%,33%,22%,18%,7%,33%,16%,23%,32%,28%,37%,13%,19%,32%,28%,27%,27%,20%,26%,35%,22%,30%,28%,26%
(Responses reclassified by age group) In what year were you born?,Refused,5%,4%,5%,0%,0%,0%,0%,3%,4%,3%,8%,3%,5%,5%,4%,3%,3%,5%,5%,5%,5%,4%,4%,3%,4%,6%,6%,5%,5%,3%
(Responses reclassified by age group) In what year were you born?,Number of respondents,"2,437","1,122","1,283",434,627,726,526,"1,540",349,243,215,"1,540",807,"1,159","1,248",788,740,333,467,304,"1,312",493,328,771,969,697,408,674,"1,355","1,276"
