itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,66%,65%,66%,54%,61%,69%,71%,70%,56%,74%,60%,78%,64%,62%,52%,71%,70%,64%,61%,69%,65%,47%,69%,68%,62%,72%,66%,44%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,28%,28%,28%,33%,31%,25%,26%,26%,33%,22%,32%,19%,32%,30%,34%,23%,25%,30%,32%,26%,30%,30%,27%,29%,29%,24%,32%,32%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,3%,3%,3%,8%,5%,3%,<1%,2%,6%,2%,4%,<1%,3%,4%,7%,4%,2%,3%,3%,3%,2%,10%,3%,1%,5%,2%,<1%,14%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<1%,<1%,<1%,2%,1%,<1%,<.5%,<.5%,2%,<1%,<1%,<.5%,<.5%,1%,2%,<1%,<.5%,<1%,<1%,<.5%,<1%,3%,<.5%,<.5%,1%,<.5%,<.5%,4%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,2%,<1%,3%,1%,1%,<1%,<1%,3%,<1%,2%,<1%,<1%,1%,4%,1%,<1%,1%,2%,<1%,1%,6%,<1%,<.5%,2%,<1%,<.5%,5%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,<1%,<1%,1%,<.5%,<1%,2%,<1%,<1%,1%,<1%,<1%,<1%,<1%,1%,1%,<1%,1%,<1%,1%,<1%,<1%,3%,<1%,1%,<1%,<1%,<1%,2%,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",49%,42%,56%,58%,50%,47%,49%,44%,63%,61%,42%,60%,33%,65%,62%,50%,55%,41%,56%,100%,0%,0%,96%,9%,47%,94%,3%,45%,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,53%,40%,37%,43%,48%,47%,52%,29%,35%,53%,37%,63%,26%,31%,43%,39%,54%,41%,0%,100%,0%,3%,89%,48%,4%,95%,45%,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,5%,5%,4%,7%,5%,4%,4%,7%,4%,6%,3%,5%,9%,7%,8%,6%,5%,3%,0%,0%,100%,2%,2%,6%,2%,2%,10%,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares,MARGIN Harris +4 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",47%,40%,53%,57%,46%,46%,47%,42%,61%,59%,40%,59%,31%,62%,60%,49%,54%,40%,53%,96%,<.5%,0%,94%,9%,43%,92%,3%,41%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",44%,51%,38%,35%,40%,47%,46%,51%,27%,33%,51%,36%,62%,24%,29%,42%,38%,53%,38%,0%,97%,0%,3%,88%,45%,3%,94%,42%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,<.5%,0%,<.5%,0%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,<.5%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",1%,1%,1%,2%,2%,1%,<1%,1%,2%,2%,1%,1%,<1%,3%,2%,<1%,1%,<1%,3%,1%,<1%,8%,<1%,<.5%,4%,1%,<.5%,4%,NA,NA
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,<.5%,0%,<.5%,0%,0%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,<.5%,0%,0%,0%,<.5%,<.5%,<.5%,0%,0%,0%,0%,<.5%,<.5%,0%,<.5%,NA,NA
