itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,city_type_city,city_type_suburb,city_type_rural,income_under_50k,income_50_100k,income_over_100k,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind,party_id_leaners_dem
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,53%,50%,57%,38%,49%,63%,59%,60%,38%,44%,43%,63%,48%,68%,55%,52%,37%,49%,51%,59%,47%,51%,60%,57%,55%,29%,56%,61%,49%,55%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,29%,30%,29%,34%,28%,26%,29%,28%,29%,30%,36%,28%,30%,26%,30%,33%,30%,33%,27%,28%,30%,31%,29%,29%,28%,30%,32%,31%,28%,29%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,10%,10%,9%,20%,15%,5%,4%,7%,22%,12%,15%,5%,13%,3%,9%,9%,20%,9%,12%,7%,11%,12%,5%,11%,8%,11%,10%,3%,12%,10%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,2%,3%,1%,3%,2%,1%,2%,2%,2%,<1%,2%,<1%,3%,1%,2%,<.5%,2%,4%,2%,1%,3%,2%,<1%,2%,2%,4%,<.5%,<1%,3%,1%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,5%,6%,4%,5%,5%,4%,5%,3%,9%,13%,1%,3%,7%,2%,4%,5%,11%,5%,6%,4%,8%,4%,4%,2%,6%,19%,2%,4%,7%,4%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,1%,1%,0%,0%,<1%,<1%,<.5%,<.5%,0%,0%,2%,<1%,<.5%,<1%,<.5%,1%,0%,1%,1%,<1%,<1%,<.5%,<.5%,<1%,0%,8%,0%,0%,<1%,<.5%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,016",496,496,179,259,318,222,669,117,137,66,504,498,357,307,138,181,237,440,339,234,254,446,470,452,94,304,299,321,463
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Percent of total electorate,100%,47%,51%,16%,23%,31%,26%,66%,12%,13%,6%,37%,61%,26%,39%,10%,21%,21%,43%,35%,28%,24%,39%,44%,46%,9%,30%,30%,30%,45%
"Thinking ahead to next year’s presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
