itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,urbanicity_city,urbanicity_suburb,urbanicity_rural,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,24%,28%,19%,23%,20%,22%,30%,22%,28%,29%,24%,27%,22%,27%,19%,29%,26%,18%,24%,24%,28%,31%,25%,17%,44%,7%,15%,47%,10%,19%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,65%,62%,68%,66%,66%,68%,58%,69%,57%,57%,60%,62%,67%,65%,71%,54%,60%,70%,61%,67%,61%,54%,64%,74%,42%,86%,67%,42%,85%,65%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,11%,10%,12%,10%,14%,10%,11%,10%,14%,14%,16%,11%,12%,8%,11%,17%,14%,12%,15%,9%,11%,14%,11%,9%,14%,7%,18%,11%,5%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Almost certain,51%,54%,47%,33%,47%,54%,65%,58%,40%,30%,44%,57%,47%,60%,56%,49%,31%,63%,55%,46%,42%,46%,50%,55%,55%,51%,25%,54%,56%,50%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Very likely,32%,30%,34%,41%,34%,32%,24%,30%,35%,40%,32%,31%,32%,30%,30%,37%,36%,25%,27%,35%,39%,33%,34%,28%,30%,34%,31%,33%,34%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Somewhat likely,7%,6%,9%,17%,6%,6%,5%,5%,13%,11%,9%,4%,10%,3%,7%,6%,14%,5%,5%,9%,9%,8%,6%,9%,7%,6%,17%,8%,5%,9%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not very likely,3%,4%,2%,2%,7%,2%,1%,3%,5%,5%,0%,3%,3%,3%,2%,4%,4%,3%,5%,3%,2%,3%,3%,2%,2%,3%,6%,1%,<.5%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Not at all likely,5%,4%,6%,6%,7%,4%,2%,3%,4%,11%,11%,3%,6%,2%,4%,4%,11%,4%,7%,5%,6%,8%,5%,4%,3%,5%,16%,2%,3%,6%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,2%,3%,<1%,<.5%,<1%,3%,2%,1%,3%,2%,3%,1%,2%,1%,<1%,1%,4%,0%,2%,2%,3%,2%,1%,2%,2%,1%,4%,1%,1%,1%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,49%,50%,16%,23%,32%,24%,63%,11%,15%,9%,38%,61%,25%,38%,12%,23%,22%,20%,35%,23%,24%,41%,35%,43%,48%,10%,28%,30%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Urbanicity,Urbanicity,Urbanicity,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Joe Biden, the Democrat",43%,40%,46%,53%,41%,36%,49%,40%,66%,40%,43%,54%,36%,55%,29%,52%,47%,39%,43%,40%,49%,56%,46%,29%,100%,0%,0%,90%,6%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Donald Trump, the Republican",48%,49%,46%,41%,48%,54%,43%,53%,23%,46%,45%,38%,54%,40%,62%,33%,41%,55%,42%,50%,42%,34%,44%,62%,0%,100%,0%,8%,91%,42%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,10%,11%,8%,6%,11%,10%,8%,8%,11%,14%,12%,8%,11%,5%,10%,15%,11%,6%,16%,9%,8%,10%,10%,9%,0%,0%,100%,3%,3%,16%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,980,492,478,159,251,328,189,607,119,154,81,451,523,296,310,146,205,212,218,344,206,241,401,338,412,475,93,281,278,312
