itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_choice_biden,x2024_vote_choice_trump,x2024_vote_choice_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,25%,26%,25%,24%,18%,26%,34%,25%,27%,25%,24%,29%,23%,32%,21%,24%,26%,25%,27%,25%,24%,32%,27%,19%,46%,8%,11%,43%,9%,24%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,64%,65%,63%,69%,67%,68%,54%,67%,60%,57%,63%,60%,67%,57%,73%,67%,56%,63%,57%,67%,68%,56%,61%,74%,38%,88%,72%,41%,88%,64%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,11%,9%,12%,7%,15%,6%,12%,8%,13%,18%,13%,11%,10%,11%,7%,9%,18%,11%,16%,9%,8%,11%,12%,8%,16%,4%,17%,16%,3%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,059",520,527,192,272,330,210,695,112,134,79,489,562,337,356,131,191,211,208,408,232,260,436,363,471,496,92,315,274,365
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Percent of total electorate,100%,47%,52%,16%,23%,31%,25%,65%,11%,12%,8%,38%,61%,25%,39%,11%,20%,21%,20%,35%,23%,23%,42%,34%,45%,46%,8%,31%,27%,32%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote Choice,2024 Vote Choice,2024 Vote Choice,Party ID,Party ID,Party ID
"Do you think the United States is on the right track, or is it headed in the wrong direction?","Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Midwest,North-East,South,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Dem.,Rep.,Ind.
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Almost certain,57%,61%,54%,35%,56%,60%,64%,64%,43%,38%,47%,66%,51%,71%,60%,55%,33%,62%,58%,57%,52%,59%,54%,59%,61%,58%,33%,62%,61%,53%
