itm,v1,registered_voters_registered_voters,state_az,state_ga,state_mi,state_nv,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Very satisfied,36%,40%,36%,33%,36%,33%,40%,36%,37%,32%,38%,33%,40%,38%,32%,37%,32%,43%,33%,46%,32%,38%,33%,37%,36%,37%,42%,31%,37%,45%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,38%,36%,38%,38%,34%,41%,39%,37%,39%,49%,38%,37%,32%,36%,46%,36%,43%,38%,38%,37%,36%,42%,42%,41%,37%,36%,44%,32%,39%,43%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,11%,11%,11%,12%,13%,10%,9%,11%,11%,12%,11%,12%,10%,11%,10%,11%,9%,8%,12%,8%,13%,8%,11%,9%,12%,11%,7%,14%,9%,7%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,11%,9%,11%,14%,14%,11%,8%,13%,10%,5%,10%,14%,13%,12%,8%,11%,12%,7%,14%,7%,15%,8%,10%,10%,11%,13%,4%,19%,9%,3%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,4%,4%,5%,2%,3%,4%,3%,3%,4%,1%,3%,3%,5%,3%,4%,5%,4%,3%,3%,3%,3%,4%,4%,3%,4%,3%,3%,4%,6%,3%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,74%,76%,74%,72%,70%,75%,80%,73%,75%,81%,77%,70%,72%,74%,78%,74%,75%,81%,71%,83%,69%,80%,75%,78%,73%,73%,86%,63%,76%,87%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,22%,20%,21%,26%,27%,21%,17%,24%,21%,17%,21%,26%,23%,23%,18%,22%,21%,15%,26%,14%,28%,16%,21%,19%,23%,24%,11%,33%,18%,9%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,State,State,State,State,State,State,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,AZ,GA,MI,NV,PA,WI,Men,Women,18-29,30-44,45-64,65+,White,Black,Hispanic,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Almost certain,49%,44%,40%,54%,39%,57%,62%,51%,47%,30%,43%,58%,56%,56%,35%,32%,35%,58%,45%,64%,51%,41%,31%,47%,48%,52%,53%,51%,25%,58%
How satisfied are you with the way things are going in your life these days?,Very likely,31%,37%,37%,23%,34%,29%,28%,31%,32%,35%,33%,29%,32%,32%,30%,32%,30%,31%,32%,28%,34%,40%,28%,30%,32%,32%,32%,32%,25%,32%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,8%,8%,9%,10%,12%,7%,5%,7%,10%,20%,10%,5%,4%,6%,14%,19%,14%,5%,10%,4%,7%,9%,18%,10%,9%,7%,8%,7%,17%,5%
How satisfied are you with the way things are going in your life these days?,Not very likely,4%,5%,5%,4%,6%,3%,<1%,4%,4%,7%,5%,3%,2%,2%,8%,9%,7%,2%,5%,1%,3%,4%,9%,6%,4%,2%,3%,3%,9%,2%
How satisfied are you with the way things are going in your life these days?,Not at all likely,5%,4%,6%,8%,7%,4%,3%,5%,6%,7%,6%,5%,4%,3%,10%,7%,13%,3%,7%,2%,4%,4%,12%,6%,5%,5%,3%,5%,16%,2%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,2%,2%,3%,<1%,2%,1%,1%,2%,1%,<1%,2%,<1%,2%,1%,4%,<1%,1%,1%,2%,1%,1%,2%,2%,2%,1%,2%,1%,1%,8%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"4,097",626,604,616,614,"1,023",614,"2,103","1,957",726,926,"1,254","1,032","2,830",484,367,293,"1,784","2,284","1,325","1,496",392,738,959,"1,806","1,332","1,782","1,922",393,"1,445"
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,17%,17%,17%,17%,17%,17%,48%,51%,16%,23%,31%,25%,68%,12%,10%,8%,34%,64%,25%,42%,8%,21%,24%,41%,35%,42%,48%,10%,33%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
