itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",Right track/direction,22%,24%,20%,15%,20%,20%,30%,20%,21%,32%,27%,28%,17%,28%,14%,30%,25%,23%,22%,18%,26%,25%,22%,19%,41%,6%,13%,39%,5%,22%
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",Wrong direction/track,67%,65%,69%,73%,64%,73%,60%,71%,62%,55%,58%,60%,72%,62%,78%,55%,61%,68%,66%,70%,63%,62%,66%,71%,42%,88%,71%,46%,91%,66%
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",[VOLUNTEERED] Don't know/Refused,11%,11%,11%,13%,16%,7%,10%,9%,17%,12%,15%,12%,11%,10%,8%,16%,14%,9%,13%,12%,11%,13%,12%,9%,17%,5%,17%,14%,3%,13%
"(Combined result among two variants) Do you think the United States is on the right track/headed in the direction, or is it headed in the wrong direction/off on the wrong track?",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,23%,25%,21%,18%,20%,22%,31%,22%,24%,31%,22%,29%,19%,30%,17%,30%,24%,24%,22%,22%,26%,25%,24%,21%,42%,6%,19%,37%,7%,23%
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,66%,66%,66%,70%,67%,71%,57%,68%,68%,52%,65%,59%,70%,61%,73%,57%,64%,66%,69%,66%,62%,62%,65%,68%,42%,89%,61%,46%,89%,66%
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOL] Don't know/Refused,11%,9%,13%,11%,13%,6%,12%,10%,8%,17%,13%,11%,11%,10%,10%,13%,12%,10%,9%,12%,13%,13%,10%,11%,15%,5%,20%,16%,4%,11%
"(Split A) Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,607,298,302,91,142,193,153,396,72,73,47,291,311,209,185,77,113,121,121,226,139,141,260,206,263,280,64,165,151,231
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",Right direction,20%,23%,18%,12%,21%,18%,29%,17%,19%,34%,32%,26%,16%,26%,10%,29%,27%,22%,21%,15%,25%,25%,19%,18%,40%,7%,6%,41%,4%,20%
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",Wrong track,68%,64%,72%,74%,61%,74%,64%,75%,55%,59%,52%,61%,74%,63%,83%,52%,58%,70%,63%,73%,65%,61%,67%,74%,42%,87%,81%,47%,93%,65%
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",[VOL] Don't know/Refused,12%,13%,10%,14%,19%,8%,8%,8%,26%,8%,17%,13%,10%,11%,7%,19%,16%,8%,16%,13%,10%,14%,14%,8%,18%,6%,13%,12%,3%,15%
"(Split B) Do you think the United States is headed in the right direction, or is it off on the wrong track?",Number of respondents,619,309,304,101,128,201,170,400,73,76,53,290,323,205,193,78,123,142,129,214,134,153,253,213,261,296,62,174,175,201
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,56%,56%,57%,38%,48%,63%,67%,62%,57%,38%,44%,64%,52%,67%,58%,56%,42%,67%,62%,56%,43%,50%,58%,59%,62%,58%,26%,65%,60%,52%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,24%,25%,23%,23%,28%,24%,21%,24%,19%,24%,27%,25%,23%,25%,24%,27%,21%,20%,23%,24%,29%,26%,21%,27%,25%,25%,20%,21%,29%,23%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,8%,7%,9%,15%,11%,4%,5%,5%,15%,11%,17%,4%,10%,3%,6%,9%,17%,6%,6%,8%,11%,10%,8%,6%,7%,7%,16%,7%,5%,10%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,3%,3%,4%,13%,2%,2%,<1%,3%,4%,8%,4%,2%,4%,1%,3%,4%,6%,3%,3%,4%,4%,3%,5%,3%,3%,3%,9%,2%,1%,4%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,6%,7%,6%,9%,7%,5%,4%,5%,6%,15%,7%,4%,8%,3%,6%,5%,11%,3%,5%,8%,8%,9%,7%,4%,3%,6%,22%,4%,3%,9%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,2%,2%,2%,2%,3%,1%,2%,2%,<1%,3%,<1%,1%,2%,1%,2%,<1%,2%,<.5%,<1%,2%,5%,2%,2%,1%,<1%,2%,7%,<.5%,2%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,226",607,606,192,270,394,323,796,145,149,100,581,634,414,378,155,236,263,250,440,273,294,513,419,524,576,126,339,326,432
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",42%,36%,47%,46%,42%,36%,47%,38%,59%,45%,43%,52%,35%,50%,30%,58%,45%,42%,51%,35%,43%,56%,42%,32%,100%,0%,0%,91%,4%,37%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,54%,43%,40%,47%,55%,45%,53%,30%,44%,35%,40%,53%,44%,60%,29%,41%,50%,42%,52%,45%,32%,46%,61%,0%,100%,0%,6%,93%,47%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,10%,10%,11%,14%,11%,9%,9%,8%,10%,11%,22%,9%,11%,7%,10%,14%,14%,7%,7%,13%,12%,12%,11%,8%,0%,0%,100%,3%,3%,16%
