itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,22%,22%,21%,13%,19%,21%,29%,19%,30%,27%,26%,25%,19%,25%,15%,28%,28%,20%,23%,19%,25%,22%,23%,19%,41%,8%,11%,45%,7%,15%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,69%,70%,68%,76%,71%,72%,60%,73%,56%,63%,62%,64%,72%,66%,78%,61%,60%,73%,70%,72%,59%,64%,68%,74%,48%,87%,67%,44%,88%,76%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,10%,8%,11%,11%,11%,6%,11%,8%,14%,10%,12%,10%,9%,10%,7%,11%,12%,7%,7%,9%,16%,14%,9%,7%,12%,5%,22%,11%,5%,10%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,55%,54%,55%,36%,51%,59%,65%,62%,46%,34%,41%,63%,50%,67%,58%,50%,36%,62%,56%,56%,45%,49%,54%,59%,59%,56%,29%,63%,62%,40%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,26%,25%,28%,24%,27%,22%,23%,29%,31%,31%,24%,26%,21%,24%,31%,30%,17%,25%,26%,32%,27%,26%,23%,26%,27%,16%,27%,27%,22%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,7%,7%,7%,19%,10%,4%,3%,5%,11%,16%,5%,6%,8%,6%,5%,6%,14%,6%,8%,7%,8%,9%,7%,6%,7%,6%,17%,5%,4%,12%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,4%,3%,4%,8%,5%,2%,1%,2%,5%,6%,8%,3%,4%,2%,3%,4%,7%,4%,4%,3%,4%,4%,5%,3%,1%,3%,15%,<.5%,2%,13%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,6%,6%,5%,8%,8%,5%,3%,5%,6%,8%,11%,3%,7%,2%,6%,5%,10%,6%,7%,5%,6%,9%,4%,5%,4%,4%,18%,3%,2%,9%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,3%,4%,3%,1%,3%,3%,6%,3%,3%,5%,4%,2%,4%,2%,3%,3%,4%,4%,1%,3%,4%,2%,3%,4%,3%,3%,5%,2%,3%,4%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,532",731,786,249,346,503,386,"1,003",178,167,129,755,764,523,476,206,263,329,304,558,341,353,677,502,664,712,156,552,578,156
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",41%,31%,49%,40%,40%,35%,48%,37%,73%,41%,32%,52%,34%,51%,27%,56%,47%,41%,45%,34%,46%,51%,43%,31%,100%,0%,0%,100%,0%,32%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",49%,58%,42%,48%,50%,55%,44%,56%,15%,50%,48%,37%,56%,40%,66%,30%,40%,51%,44%,55%,43%,36%,47%,60%,0%,100%,0%,0%,100%,45%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,10%,11%,9%,12%,11%,10%,8%,8%,12%,9%,20%,11%,10%,9%,7%,15%,13%,7%,10%,11%,11%,13%,10%,8%,0%,0%,100%,0%,0%,24%
