itm,v1,registered_voters_registered_voters,state_mi,state_pa,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_harris,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,59%,51%,65%,62%,61%,58%,43%,57%,62%,64%,62%,43%,48%,67%,55%,69%,59%,59%,40%,54%,59%,62%,62%,60%,34%,64%,62%,36%,31%,64%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,30%,32%,27%,30%,29%,30%,39%,29%,29%,28%,29%,36%,33%,27%,31%,26%,30%,29%,37%,34%,28%,30%,31%,29%,20%,30%,30%,31%,20%,29%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,4%,6%,5%,3%,3%,5%,9%,5%,4%,3%,3%,11%,7%,2%,6%,1%,5%,5%,10%,4%,5%,4%,3%,4%,12%,3%,4%,14%,13%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,2%,2%,<1%,2%,1%,2%,3%,2%,1%,<1%,1%,2%,3%,2%,1%,1%,1%,4%,2%,<1%,2%,1%,1%,1%,8%,<1%,1%,8%,5%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,4%,8%,2%,2%,5%,3%,5%,6%,3%,3%,3%,8%,7%,2%,5%,2%,4%,3%,9%,7%,4%,3%,2%,4%,22%,2%,2%,8%,28%,3%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,1%,<1%,<1%,2%,1%,<1%,1%,1%,1%,1%,<1%,0%,2%,<1%,1%,<1%,1%,0%,1%,<1%,1%,<1%,<.5%,1%,5%,<.5%,1%,3%,2%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,"1,973",619,693,661,934,"1,007",282,458,619,559,"1,532",170,214,897,"1,064",723,808,151,231,352,793,828,988,879,106,935,803,117,118,646
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",48%,45%,49%,50%,40%,56%,52%,47%,42%,55%,47%,75%,46%,57%,44%,58%,41%,60%,59%,65%,51%,39%,100%,0%,0%,100%,0%,27%,19%,94%
"(Combined to include leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",46%,48%,46%,46%,55%,39%,44%,46%,51%,42%,49%,18%,48%,36%,51%,37%,55%,29%,36%,27%,44%,57%,0%,100%,0%,0%,100%,41%,22%,4%
