itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_midwest,region_north_east,region_south,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,28%,28%,28%,25%,27%,27%,31%,25%,42%,30%,26%,37%,22%,36%,18%,40%,30%,28%,34%,23%,29%,34%,34%,17%,53%,7%,8%,58%,5%,23%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,60%,62%,59%,60%,61%,63%,56%,65%,43%,57%,54%,53%,65%,54%,72%,50%,52%,61%,52%,67%,56%,50%,54%,75%,31%,87%,66%,29%,90%,63%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,12%,10%,13%,15%,12%,9%,13%,10%,15%,13%,20%,10%,13%,10%,10%,10%,18%,10%,14%,9%,15%,16%,12%,8%,16%,6%,26%,13%,5%,13%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"1,695",859,819,271,410,555,392,"1,099",198,202,149,827,846,544,542,256,288,361,344,596,394,386,722,587,787,806,102,492,493,554
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,Very optimistic,20%,22%,18%,19%,14%,25%,22%,19%,17%,26%,25%,16%,22%,17%,21%,15%,27%,18%,22%,20%,20%,13%,20%,24%,18%,21%,17%,20%,24%,16%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,Somewhat optimistic,50%,44%,56%,57%,58%,45%,45%,51%,53%,50%,40%,49%,51%,50%,52%,50%,48%,56%,44%,47%,53%,48%,54%,47%,58%,48%,40%,59%,48%,49%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,Somewhat pessimistic,11%,12%,11%,14%,14%,9%,11%,12%,8%,7%,12%,12%,11%,13%,12%,11%,7%,9%,15%,13%,9%,14%,11%,11%,10%,11%,17%,10%,12%,13%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,Very pessimistic,11%,13%,10%,6%,12%,14%,10%,10%,17%,11%,14%,15%,9%,13%,9%,18%,12%,9%,12%,13%,9%,16%,10%,10%,10%,11%,21%,8%,9%,14%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,[VOL] Don't know/Refused,7%,8%,6%,4%,3%,6%,12%,7%,5%,6%,9%,7%,7%,7%,7%,6%,6%,7%,6%,6%,10%,9%,5%,8%,4%,9%,4%,3%,7%,8%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,NET Optimistic,70%,66%,74%,75%,71%,70%,67%,71%,71%,76%,65%,66%,73%,67%,73%,65%,75%,75%,67%,68%,73%,61%,74%,71%,76%,69%,58%,79%,72%,65%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,NET Pessimistic,23%,25%,20%,20%,25%,24%,21%,23%,25%,18%,26%,27%,20%,26%,21%,28%,19%,18%,27%,26%,18%,30%,21%,21%,20%,22%,38%,18%,21%,27%
(If wrong direction) Are you optimistic or pessimistic that America can get back on the right track over the next decade?,Number of respondents,"1,017",523,485,161,254,350,212,701,91,111,80,449,558,301,394,128,152,227,176,399,215,195,392,430,239,710,68,138,438,349
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,53%,55%,51%,34%,51%,61%,57%,59%,48%,32%,48%,64%,47%,70%,52%,51%,37%,62%,62%,51%,41%,52%,53%,54%,57%,52%,26%,59%,58%,50%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,32%,30%,33%,37%,30%,29%,35%,31%,32%,38%,31%,27%,35%,24%,35%,33%,35%,27%,22%,34%,42%,29%,33%,32%,31%,33%,30%,32%,33%,29%
