itm,v1,ne_2_likely_electorate_ne_2_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump,x2020_vote_did_not_vote,na,na_2,na_3,na_4,na_5,na_6
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,62%,65%,61%,44%,61%,71%,62%,66%,47%,67%,59%,70%,63%,52%,44%,65%,62%,44%,63%,61%,67%,70%,64%,31%,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,33%,30%,35%,45%,31%,27%,35%,30%,44%,30%,35%,28%,32%,45%,43%,32%,35%,26%,34%,37%,25%,28%,35%,44%,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,2%,1%,2%,6%,3%,<.5%,<1%,1%,6%,<1%,3%,<1%,2%,2%,8%,2%,<1%,8%,1%,<1%,4%,<1%,<1%,11%,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,1%,1%,2%,2%,<1%,<.5%,1%,1%,<1%,1%,<1%,1%,0%,2%,<1%,1%,6%,<.5%,<1%,2%,<1%,<.5%,5%,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,2%,<.5%,2%,2%,<1%,0%,<1%,1%,1%,1%,<1%,1%,1%,1%,<.5%,<1%,13%,0%,<.5%,2%,0%,<.5%,8%,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,NA,NA,NA,NA,NA
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,<1%,<1%,<.5%,1%,<.5%,0%,1%,<.5%,<1%,<.5%,<1%,0%,<1%,0%,1%,<.5%,<1%,3%,<1%,0%,<.5%,<1%,<.5%,1%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",52%,45%,59%,53%,57%,52%,48%,51%,64%,59%,45%,60%,42%,68%,62%,100%,0%,0%,95%,11%,57%,96%,5%,47%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",43%,50%,37%,43%,33%,44%,51%,45%,28%,37%,48%,36%,53%,31%,27%,0%,100%,0%,2%,87%,35%,2%,91%,36%,NA,NA,NA,NA,NA,NA
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,6%,4%,4%,9%,4%,2%,4%,8%,4%,6%,4%,5%,1%,11%,0%,0%,100%,2%,3%,8%,2%,3%,18%,NA,NA,NA,NA,NA,NA
