itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_hispanic,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_clark_county,region_rural,region_washoe_county,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy,x2024_vote_includes_third_parties_oth,party_id_dem
How satisfied are you with the way things are going in your life these days?,Very satisfied,36%,38%,33%,31%,46%,27%,39%,40%,35%,29%,44%,32%,50%,34%,35%,32%,36%,35%,36%,34%,38%,34%,39%,31%,43%,44%,31%,36%,33%,39%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,34%,34%,34%,56%,27%,33%,24%,27%,34%,49%,33%,35%,29%,27%,38%,43%,36%,24%,33%,37%,32%,30%,43%,27%,35%,39%,24%,41%,44%,39%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,13%,11%,16%,9%,15%,21%,9%,14%,15%,7%,9%,15%,9%,18%,5%,12%,12%,14%,18%,13%,16%,10%,8%,19%,7%,8%,20%,11%,7%,11%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,14%,14%,14%,4%,10%,15%,24%,17%,11%,12%,11%,15%,10%,21%,15%,9%,13%,25%,13%,12%,11%,23%,6%,21%,12%,3%,22%,10%,13%,6%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,3%,3%,3%,<1%,2%,5%,4%,1%,6%,4%,4%,3%,2%,<1%,7%,4%,4%,3%,<.5%,4%,3%,2%,5%,2%,3%,6%,3%,2%,2%,5%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,70%,72%,67%,86%,73%,60%,63%,68%,68%,78%,76%,67%,79%,61%,73%,75%,71%,58%,69%,71%,70%,64%,82%,58%,78%,83%,55%,77%,78%,78%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,27%,25%,30%,13%,25%,36%,32%,31%,26%,18%,20%,30%,18%,38%,21%,20%,25%,38%,30%,25%,27%,33%,14%,39%,19%,11%,43%,21%,20%,17%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,313,296,126,125,176,153,325,129,139,220,387,142,181,67,196,444,70,100,279,226,109,245,296,73,180,241,77,116,160
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,51%,48%,18%,25%,29%,23%,52%,22%,23%,29%,69%,18%,34%,10%,34%,72%,11%,16%,44%,38%,18%,38%,50%,13%,27%,41%,12%,19%,25%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
