itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
How satisfied are you with the way things are going in your life these days?,Very satisfied,33%,34%,33%,39%,29%,33%,35%,34%,27%,29%,43%,27%,44%,28%,41%,22%,42%,32%,30%,29%,37%,34%,30%,34%,34%,32%,44%,24%,33%,46%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,41%,40%,42%,46%,50%,38%,36%,41%,43%,53%,40%,42%,39%,42%,47%,47%,41%,30%,47%,49%,41%,47%,35%,44%,43%,38%,46%,36%,50%,45%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,10%,9%,11%,6%,10%,13%,10%,11%,10%,2%,6%,13%,6%,14%,3%,8%,5%,22%,10%,6%,6%,4%,17%,7%,8%,13%,4%,16%,6%,4%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,11%,13%,10%,8%,9%,13%,13%,10%,15%,12%,7%,14%,7%,13%,5%,18%,9%,12%,10%,10%,11%,13%,13%,10%,11%,13%,4%,19%,7%,3%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,4%,4%,4%,2%,2%,3%,7%,4%,5%,4%,4%,4%,4%,4%,3%,5%,3%,4%,3%,6%,5%,2%,5%,4%,4%,4%,2%,5%,5%,2%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,75%,74%,75%,85%,79%,71%,71%,75%,70%,82%,83%,70%,83%,70%,88%,69%,83%,62%,77%,78%,77%,81%,65%,79%,77%,70%,89%,60%,82%,91%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,21%,22%,21%,13%,19%,27%,22%,21%,25%,15%,13%,27%,13%,27%,8%,26%,14%,34%,20%,17%,18%,17%,30%,18%,19%,26%,8%,35%,12%,7%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Allegh.,Central,Northeast/ Lehigh Valley,Phil.,Phil. Suburbs,South Central,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden
How satisfied are you with the way things are going in your life these days?,Almost certain,57%,61%,52%,41%,57%,61%,61%,59%,45%,44%,68%,50%,69%,53%,62%,37%,66%,56%,55%,45%,59%,55%,60%,51%,60%,56%,60%,57%,34%,66%
How satisfied are you with the way things are going in your life these days?,Very likely,29%,27%,31%,30%,32%,27%,29%,30%,26%,28%,23%,33%,22%,35%,28%,27%,27%,29%,28%,29%,29%,33%,27%,28%,27%,32%,28%,31%,26%,26%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,7%,6%,7%,20%,4%,5%,2%,5%,12%,11%,5%,7%,5%,5%,7%,14%,2%,6%,8%,12%,6%,5%,7%,8%,6%,6%,6%,5%,19%,3%
How satisfied are you with the way things are going in your life these days?,Not very likely,3%,2%,4%,3%,2%,3%,3%,2%,5%,7%,1%,3%,2%,2%,<1%,8%,2%,4%,5%,3%,2%,1%,<1%,4%,2%,2%,2%,3%,6%,1%
How satisfied are you with the way things are going in your life these days?,Not at all likely,4%,3%,5%,6%,2%,5%,4%,3%,9%,8%,2%,5%,2%,3%,2%,12%,<1%,3%,2%,9%,3%,6%,4%,7%,3%,3%,3%,3%,12%,3%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,1%,1%,0%,3%,<.5%,2%,1%,3%,1%,<.5%,2%,<.5%,2%,0%,3%,3%,<1%,1%,3%,<1%,0%,1%,2%,<1%,2%,<1%,1%,3%,<1%
How satisfied are you with the way things are going in your life these days?,Number of respondents,"1,023",573,435,157,210,331,296,812,106,74,501,519,406,406,75,103,82,107,133,89,403,110,99,153,581,289,484,460,79,400
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,48%,51%,15%,23%,31%,28%,79%,11%,8%,38%,62%,31%,48%,6%,13%,10%,14%,16%,11%,22%,14%,13%,19%,46%,35%,44%,47%,8%,36%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
