itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_allegh,region_central,region_northeast_lehigh_valley,region_phil,region_phil_suburbs,region_south_central,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,64%,66%,62%,45%,65%,65%,68%,67%,52%,52%,67%,62%,69%,66%,60%,47%,73%,57%,71%,62%,61%,61%,61%,60%,63%,66%,67%,64%,42%,70%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,26%,25%,26%,37%,23%,25%,25%,24%,32%,30%,24%,27%,22%,25%,30%,32%,19%,32%,19%,30%,28%,27%,25%,26%,26%,25%,25%,28%,19%,25%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,6%,5%,7%,13%,7%,5%,3%,5%,7%,13%,6%,6%,6%,5%,5%,13%,5%,6%,5%,3%,6%,9%,7%,9%,6%,4%,4%,5%,22%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,1%,1%,4%,2%,<.5%,<.5%,<1%,2%,3%,1%,1%,<1%,1%,4%,2%,1%,1%,<.5%,4%,1%,<1%,1%,3%,<1%,1%,1%,1%,1%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,1%,1%,1%,<1%,2%,1%,1%,3%,2%,<1%,2%,1%,1%,<1%,4%,1%,<1%,3%,<.5%,1%,1%,1%,<.5%,2%,1%,<1%,<1%,8%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,2%,2%,3%,0%,1%,3%,3%,2%,3%,0%,1%,2%,1%,2%,0%,3%,0%,2%,2%,1%,2%,2%,4%,1%,2%,2%,2%,1%,7%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,872,453,410,121,193,288,254,688,96,63,424,435,338,339,73,85,92,117,149,98,193,114,109,166,417,289,412,395,65,354
"(Includes leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",45%,38%,52%,56%,44%,39%,48%,42%,80%,45%,57%,38%,56%,32%,70%,64%,55%,27%,39%,76%,54%,42%,30%,69%,46%,33%,100%,0%,0%,100%
"(Includes leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,55%,41%,38%,47%,53%,47%,53%,11%,37%,36%,56%,38%,64%,22%,20%,38%,67%,55%,20%,40%,48%,61%,24%,46%,62%,0%,100%,0%,0%
"(Includes leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,7%,7%,7%,5%,9%,7%,5%,5%,9%,18%,7%,6%,6%,4%,8%,16%,7%,6%,6%,3%,6%,10%,9%,7%,8%,5%,0%,0%,100%,0%
"(Includes leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares,MARGIN Trump +3 Calculated using candidates’ unrounded vote shares
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Joe Biden, the Democrat",40%,34%,47%,43%,40%,35%,45%,38%,67%,39%,52%,33%,52%,29%,61%,53%,52%,25%,34%,63%,49%,36%,28%,58%,43%,29%,90%,0%,0%,100%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",42%,50%,35%,31%,38%,47%,44%,47%,7%,33%,30%,50%,32%,57%,18%,17%,34%,60%,51%,17%,35%,39%,53%,20%,39%,57%,0%,88%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",7%,5%,8%,13%,10%,4%,5%,6%,7%,9%,5%,8%,5%,7%,5%,10%,2%,7%,6%,6%,5%,10%,10%,7%,7%,6%,3%,7%,27%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",2%,1%,2%,3%,3%,2%,0%,1%,2%,3%,2%,2%,2%,1%,2%,2%,2%,<.5%,<1%,4%,1%,4%,<1%,4%,2%,<1%,2%,<1%,8%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",<.5%,<.5%,0%,0%,<1%,0%,0%,<.5%,0%,0%,<.5%,0%,<.5%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,<1%,0%,0%,0%,0%,2%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<.5%,<1%,<.5%,<.5%,<.5%,<1%,<.5%,<1%,0%,0%,<1%,<.5%,<1%,<.5%,0%,0%,0%,<.5%,<.5%,0%,1%,<1%,0%,0%,<1%,<.5%,<.5%,<1%,2%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<1%,<.5%,<1%,<.5%,0%,<.5%,1%,<.5%,<1%,3%,<.5%,<1%,<.5%,<.5%,0%,2%,0%,1%,<1%,2%,<.5%,0%,0%,1%,<.5%,<1%,<.5%,0%,5%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,2%,1%,2%,<1%,3%,2%,<1%,1%,4%,2%,2%,1%,1%,1%,6%,2%,<.5%,<1%,2%,2%,2%,3%,2%,1%,2%,1%,<1%,<.5%,15%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,7%,6%,8%,5%,9%,3%,5%,12%,10%,7%,6%,6%,4%,8%,13%,8%,5%,5%,6%,6%,8%,7%,8%,7%,5%,4%,3%,41%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares,MARGIN Trump +2 Calculated using candidates’ unrounded vote shares
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:","Joe Biden, the Democrat",27%,23%,30%,51%,18%,25%,24%,23%,49%,22%,26%,29%,22%,24%,40%,37%,21%,14%,31%,65%,28%,23%,13%,51%,20%,23%,100%,0%,0%,-
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",34%,35%,32%,28%,39%,33%,29%,43%,15%,12%,34%,34%,40%,46%,22%,10%,27%,49%,29%,18%,31%,37%,41%,18%,37%,38%,0%,100%,0%,-
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,39%,42%,38%,21%,43%,41%,48%,34%,36%,66%,41%,37%,38%,30%,38%,53%,52%,37%,41%,17%,41%,41%,45%,31%,43%,39%,0%,0%,100%,-
"(Leaners, if not supporting Trump or Biden)  If you had to decide between the two today, would you lean more toward:",Number of respondents,186,93,91,39,53,59,33,131,32,16,87,98,63,67,19,29,14,26,26,24,37,34,25,41,89,56,58,63,65,
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",47%,39%,54%,59%,47%,42%,47%,42%,85%,54%,59%,39%,58%,31%,76%,70%,59%,26%,39%,80%,55%,43%,32%,72%,48%,33%,97%,3%,20%,99%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",48%,55%,41%,38%,47%,52%,47%,54%,10%,32%,36%,56%,38%,65%,20%,17%,38%,69%,54%,19%,41%,48%,60%,24%,47%,61%,1%,97%,13%,1%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,5%,6%,5%,4%,5%,6%,6%,4%,6%,14%,5%,6%,4%,4%,4%,12%,3%,5%,7%,2%,4%,8%,9%,5%,5%,6%,2%,<.5%,67%,<.5%
"(Includes leaners) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",42%,34%,49%,46%,42%,39%,43%,38%,74%,47%,55%,33%,53%,28%,74%,58%,50%,24%,34%,69%,51%,38%,30%,62%,43%,31%,89%,2%,13%,93%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",43%,50%,36%,29%,40%,47%,45%,48%,7%,30%,31%,50%,33%,58%,17%,15%,34%,64%,51%,17%,35%,41%,52%,20%,40%,57%,<1%,88%,3%,<1%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Robert F. Kennedy Jr., the third-party candidate",6%,6%,7%,10%,9%,5%,5%,7%,6%,4%,6%,7%,7%,7%,3%,6%,7%,5%,6%,3%,5%,10%,11%,4%,8%,5%,3%,7%,27%,1%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein, the Green Party candidate",2%,2%,3%,5%,6%,1%,<.5%,2%,2%,8%,2%,3%,1%,2%,2%,6%,2%,<.5%,2%,4%,3%,6%,0%,4%,3%,<1%,3%,<1%,11%,2%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",<.5%,<1%,<.5%,<.5%,<.5%,<1%,<1%,<1%,0%,0%,<1%,<.5%,<1%,<1%,0%,0%,0%,<.5%,<.5%,<1%,<1%,<1%,0%,<1%,<1%,<.5%,<.5%,<.5%,2%,<.5%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<1%,1%,<1%,2%,0%,<.5%,2%,<1%,0%,3%,<1%,<1%,<1%,<1%,0%,2%,0%,1%,2%,1%,<.5%,0%,<1%,2%,<.5%,1%,1%,0%,7%,1%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,1%,1%,1%,<1%,<.5%,2%,1%,1%,2%,2%,2%,<1%,2%,<1%,3%,1%,<.5%,1%,1%,<1%,1%,2%,2%,<.5%,1%,1%,<1%,<1%,10%,<.5%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,4%,5%,3%,7%,3%,4%,3%,3%,9%,7%,4%,4%,3%,3%,1%,11%,7%,4%,3%,5%,4%,3%,5%,8%,4%,3%,3%,2%,28%,2%
"(Without leaners)  If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares,MARGIN Trump +1 Calculated using candidates’ unrounded vote shares
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:","Kamala [COMMA-luh] Harris, the Democrat",32%,29%,35%,52%,29%,18%,35%,29%,54%,30%,33%,31%,36%,24%,30%,45%,53%,17%,34%,75%,30%,25%,9%,55%,29%,21%,82%,11%,8%,92%
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:","Donald Trump, the Republican",34%,35%,32%,34%,42%,38%,18%,41%,16%,7%,33%,35%,36%,47%,29%,8%,26%,44%,20%,13%,43%,36%,43%,20%,39%,31%,4%,86%,13%,6%
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:",[VOL] Don't know/Refused,34%,36%,34%,14%,29%,44%,48%,29%,30%,63%,34%,34%,28%,29%,41%,46%,21%,39%,45%,12%,27%,39%,47%,25%,31%,48%,14%,3%,79%,2%
"(Leaners, if not supporting Trump or Harris)  If you had to decide between the two today, would you lean more toward:",Number of respondents,162,87,73,32,42,46,38,121,23,11,75,85,59,60,10,24,14,23,25,18,33,26,23,33,82,47,50,54,58,20
"If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","Bob Casey, the Democrat",50%,44%,56%,57%,55%,46%,50%,47%,83%,49%,62%,43%,60%,39%,81%,63%,64%,31%,45%,80%,57%,50%,35%,75%,52%,37%,93%,12%,38%,95%
"If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?","David McCormick, the Republican",42%,46%,38%,34%,35%,47%,43%,46%,11%,33%,32%,48%,34%,54%,17%,21%,28%,63%,50%,16%,32%,44%,54%,18%,38%,58%,4%,81%,20%,3%
"If this year’s general election for U.S. Senate were held today, which candidate would you be more likely to vote for?",[VOL] Don't know/Refused,8%,10%,6%,10%,10%,7%,7%,7%,6%,18%,6%,9%,5%,7%,2%,17%,9%,7%,5%,4%,10%,6%,11%,7%,10%,5%,3%,7%,42%,3%
