itm,v1,mi_oh_and_wi_likely_electorate_mi_oh_and_wi_likely_electorate,state_mi,state_oh,state_wi,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind,x2020_vote_biden,x2020_vote_trump
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,31%,29%,31%,33%,27%,34%,25%,29%,29%,38%,30%,51%,29%,40%,26%,42%,23%,35%,42%,41%,35%,23%,59%,5%,13%,64%,7%,26%,60%,5%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,60%,61%,60%,58%,65%,55%,64%,61%,62%,54%,62%,43%,54%,50%,66%,49%,69%,51%,48%,47%,56%,68%,28%,91%,58%,25%,88%,64%,28%,91%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,9%,10%,9%,10%,8%,11%,11%,10%,10%,7%,8%,7%,17%,11%,8%,10%,8%,14%,10%,12%,9%,9%,13%,3%,29%,11%,5%,10%,12%,3%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,"2,055",688,687,680,980,"1,050",327,422,688,552,"1,632",178,190,861,"1,178",687,940,150,216,362,777,916,974,949,132,600,574,686,851,752
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,69%,67%,68%,71%,68%,70%,54%,65%,71%,74%,71%,54%,62%,74%,66%,76%,68%,63%,55%,70%,68%,69%,72%,68%,46%,73%,71%,66%,73%,71%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,25%,26%,25%,25%,25%,34%,27%,24%,22%,24%,36%,28%,21%,28%,19%,26%,29%,34%,24%,25%,26%,23%,27%,24%,24%,27%,24%,23%,25%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,3%,4%,2%,3%,3%,3%,8%,4%,3%,<1%,3%,6%,4%,3%,3%,3%,3%,4%,6%,3%,3%,3%,3%,2%,9%,2%,1%,5%,2%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<1%,1%,1%,<.5%,<1%,<1%,2%,2%,<.5%,<.5%,<1%,<1%,4%,<1%,<1%,<1%,<1%,2%,2%,<.5%,2%,<1%,<1%,<1%,3%,<.5%,<.5%,2%,<.5%,<.5%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,2%,1%,<1%,2%,1%,2%,2%,1%,1%,1%,3%,2%,<1%,2%,<1%,1%,2%,2%,<1%,1%,2%,<.5%,<1%,14%,<1%,<.5%,2%,<1%,<1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Don't know/Refused,<1%,1%,1%,<.5%,1%,<1%,<.5%,1%,<1%,1%,<1%,1%,<.5%,<1%,1%,<1%,<1%,<.5%,<1%,2%,<1%,<1%,<1%,<1%,3%,<1%,<1%,1%,<1%,<1%
