itm,v1,likely_electorate_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_hispanic,race_ethnicity_oth,race_ethnicity_white_2,race_ethnicity_non_white,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_austin,region_dallas_ft_worth,region_houston,region_rest,region_san_antonio_south,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,56%,59%,53%,43%,49%,61%,64%,64%,40%,44%,44%,64%,43%,62%,52%,67%,62%,54%,36%,68%,50%,60%,59%,42%,55%,57%,45%,57%,58%,56%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,36%,33%,39%,39%,41%,35%,30%,32%,45%,41%,45%,32%,43%,35%,37%,30%,34%,42%,42%,29%,39%,34%,34%,44%,35%,37%,43%,34%,38%,32%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,5%,4%,5%,11%,6%,2%,4%,2%,11%,8%,5%,2%,8%,<1%,7%,<.5%,3%,2%,13%,3%,6%,3%,4%,7%,6%,3%,10%,7%,2%,6%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,1%,2%,<1%,4%,<1%,<1%,<.5%,<1%,<.5%,3%,2%,<1%,2%,<1%,2%,<1%,<1%,<1%,3%,0%,<1%,2%,<1%,2%,<1%,2%,1%,<.5%,<1%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,1%,1%,<1%,1%,2%,<.5%,2%,<.5%,<.5%,3%,2%,<.5%,2%,<.5%,2%,<.5%,<.5%,<.5%,3%,<.5%,1%,1%,<.5%,3%,2%,<.5%,<1%,2%,0%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOLUNTEERED] Don't know/Refused,1%,1%,1%,<1%,2%,<1%,<.5%,<1%,3%,<1%,2%,<1%,2%,2%,1%,1%,<1%,2%,2%,0%,2%,<.5%,1%,2%,2%,1%,<.5%,<1%,1%,2%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Number of respondents,617,308,305,154,129,195,113,314,71,166,56,314,293,281,334,158,155,118,174,53,134,121,197,112,273,307,37,165,197,188
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",44%,38%,50%,52%,44%,37%,46%,36%,84%,49%,41%,36%,56%,51%,39%,46%,30%,60%,53%,68%,56%,45%,24%,52%,100%,0%,0%,94%,8%,46%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",50%,57%,44%,45%,44%,60%,50%,60%,7%,43%,46%,60%,35%,41%,57%,50%,68%,28%,39%,27%,36%,49%,72%,41%,0%,100%,0%,4%,91%,48%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Don't know/Refused,6%,5%,6%,3%,11%,3%,4%,3%,9%,8%,13%,3%,9%,8%,4%,5%,2%,12%,8%,5%,8%,6%,4%,7%,0%,0%,100%,2%,1%,5%
"(Combined presidential ballot, includes leaners to major-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares,MARGIN Trump +6 Calculated using candidates’ unrounded vote shares
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Kamala [COMMA-luh] Harris, the Democrat",42%,35%,48%,50%,41%,36%,44%,34%,76%,48%,38%,34%,53%,50%,36%,44%,28%,59%,49%,66%,52%,42%,23%,51%,95%,0%,0%,92%,6%,43%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Donald Trump, the Republican",49%,56%,43%,40%,43%,58%,50%,59%,5%,42%,43%,59%,33%,40%,55%,48%,67%,27%,38%,27%,34%,48%,70%,39%,0%,97%,0%,4%,91%,45%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Robert F. Kennedy Jr., the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Jill Stein [stine], the Green Party candidate",2%,1%,2%,<.5%,5%,<.5%,0%,<1%,5%,<.5%,9%,<1%,3%,2%,2%,<1%,1%,5%,2%,2%,5%,1%,<.5%,2%,2%,<.5%,15%,3%,<1%,<1%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","[VOL] Cornel West, the third-party candidate",0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:","Chase Oliver, the Libertarian Party candidate",2%,2%,2%,2%,3%,2%,<1%,2%,<1%,1%,4%,2%,2%,3%,1%,4%,1%,<1%,1%,0%,2%,2%,3%,3%,<1%,2%,16%,<.5%,<1%,3%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Another candidate (specify),<.5%,<1%,0%,<.5%,<.5%,0%,<1%,<.5%,0%,0%,<.5%,<.5%,<.5%,0%,<1%,0%,<1%,0%,<.5%,0%,1%,0%,<.5%,<.5%,<1%,0%,1%,0%,0%,<.5%
"(Combined presidential ballot, includes leaners to third-party candidates) If the 2024 presidential election were held today, who would you vote for if the candidates were:",[VOL] Not going to vote/wouldn't vote if those were the choices,<1%,2%,<.5%,1%,2%,<1%,0%,<1%,<.5%,2%,2%,<1%,1%,<1%,<1%,1%,<.5%,<1%,2%,3%,2%,<.5%,0%,<1%,<.5%,<.5%,13%,0%,<1%,<1%
