itm,v1,registered_voters_registered_voters,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_biden,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,x2024_vote_includes_third_parties_biden,x2024_vote_includes_third_parties_trump,x2024_vote_includes_third_parties_kennedy
How satisfied are you with the way things are going in your life these days?,Very satisfied,40%,38%,42%,26%,44%,38%,48%,40%,33%,47%,46%,38%,47%,37%,40%,43%,45%,37%,45%,41%,43%,47%,39%,39%,45%,35%,38%,45%,36%,28%
How satisfied are you with the way things are going in your life these days?,Somewhat satisfied,39%,36%,42%,56%,38%,39%,34%,39%,62%,35%,37%,41%,36%,40%,48%,43%,35%,44%,36%,34%,36%,39%,38%,40%,43%,34%,47%,44%,32%,48%
How satisfied are you with the way things are going in your life these days?,Not too satisfied,9%,12%,6%,12%,9%,11%,6%,10%,5%,4%,9%,9%,10%,10%,5%,4%,8%,8%,11%,9%,11%,8%,8%,10%,7%,11%,8%,6%,10%,19%
How satisfied are you with the way things are going in your life these days?,Not at all satisfied,8%,10%,7%,2%,6%,10%,10%,8%,0%,12%,5%,11%,4%,10%,2%,9%,5%,9%,8%,11%,6%,6%,10%,9%,3%,15%,4%,3%,17%,<1%
How satisfied are you with the way things are going in your life these days?,[VOLUNTEERED] Don't know/Refused,3%,3%,3%,4%,2%,3%,2%,3%,0%,2%,3%,2%,3%,3%,5%,0%,8%,1%,<1%,5%,4%,1%,5%,3%,1%,5%,2%,2%,5%,3%
How satisfied are you with the way things are going in your life these days?,NET Satisfied,80%,75%,84%,82%,82%,77%,82%,79%,95%,82%,83%,78%,83%,77%,88%,86%,80%,81%,81%,75%,79%,86%,76%,79%,89%,69%,85%,89%,68%,77%
How satisfied are you with the way things are going in your life these days?,NET Not satisfied,17%,22%,13%,14%,16%,21%,16%,18%,5%,16%,14%,20%,14%,20%,7%,14%,12%,17%,19%,20%,17%,13%,19%,18%,10%,26%,13%,9%,27%,20%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,Almost certain,62%,64%,60%,53%,57%,59%,70%,63%,47%,51%,68%,58%,71%,59%,53%,50%,63%,59%,57%,69%,63%,62%,65%,60%,65%,64%,29%,69%,66%,56%
How satisfied are you with the way things are going in your life these days?,Very likely,28%,25%,31%,38%,27%,31%,23%,31%,13%,20%,27%,29%,27%,33%,29%,13%,28%,32%,23%,27%,24%,21%,30%,31%,27%,29%,36%,29%,29%,22%
How satisfied are you with the way things are going in your life these days?,Somewhat likely,5%,5%,5%,5%,9%,4%,4%,3%,10%,21%,2%,7%,1%,5%,9%,20%,3%,5%,12%,3%,6%,8%,3%,5%,4%,5%,13%,2%,4%,8%
How satisfied are you with the way things are going in your life these days?,Not very likely,<1%,<1%,<1%,1%,2%,0%,<1%,<.5%,3%,0%,<.5%,1%,0%,<1%,0%,2%,1%,<1%,2%,0%,1%,1%,0%,<1%,0%,<1%,7%,0%,<.5%,4%
How satisfied are you with the way things are going in your life these days?,Not at all likely,3%,3%,3%,2%,5%,3%,2%,1%,25%,3%,1%,4%,<.5%,2%,3%,15%,5%,2%,5%,<1%,4%,7%,1%,2%,2%,2%,14%,<1%,<1%,10%
How satisfied are you with the way things are going in your life these days?,[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,1%,2%,<1%,<1%,1%,2%,<.5%,<1%,2%,4%,<1%,1%,0%,1%,5%,0%,0%,1%,1%,<1%,3%,<.5%,<1%,2%,2%,<1%,1%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,"If the 2024 presidential election were held today, who would you vote for if the candidates were:",Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
How satisfied are you with the way things are going in your life these days?,"Joe Biden, the Democrat",38%,35%,41%,35%,36%,32%,50%,38%,40%,44%,49%,33%,49%,33%,62%,35%,66%,33%,59%,35%,25%,51%,44%,30%,80%,0%,0%,100%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Donald Trump, the Republican",38%,46%,31%,22%,32%,49%,36%,42%,0%,22%,30%,42%,33%,46%,10%,15%,12%,45%,7%,43%,47%,15%,36%,48%,0%,85%,0%,0%,100%,0%
How satisfied are you with the way things are going in your life these days?,"Robert F. Kennedy Jr., the third-party candidate",9%,8%,10%,14%,15%,7%,5%,8%,19%,10%,7%,10%,8%,8%,2%,18%,8%,9%,7%,4%,17%,12%,4%,10%,7%,8%,27%,0%,0%,100%
How satisfied are you with the way things are going in your life these days?,"Jill Stein [stine], the Green Party candidate",1%,0%,2%,8%,<.5%,<.5%,0%,<.5%,14%,4%,<.5%,2%,<.5%,<.5%,0%,11%,0%,1%,8%,<.5%,0%,3%,<.5%,<1%,2%,<.5%,4%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"[VOL] Cornel West, the third-party candidate",<.5%,0%,<.5%,0%,0%,<1%,0%,0%,4%,0%,<1%,0%,0%,0%,5%,0%,0%,0%,2%,0%,0%,<1%,0%,0%,<.5%,0%,0%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,"Lars Mapstead [map-sted], the Libertarian Party candidate",<1%,<1%,<.5%,3%,<.5%,<.5%,<.5%,<1%,2%,0%,<1%,<.5%,1%,<.5%,0%,1%,2%,<.5%,1%,0%,1%,1%,<1%,<.5%,<1%,<.5%,3%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Another candidate (specify),<1%,<1%,<.5%,2%,0%,1%,0%,<.5%,8%,1%,<1%,<1%,<1%,0%,3%,4%,4%,0%,0%,1%,0%,2%,1%,0%,0%,0%,9%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Not going to vote/wouldn't vote if those were the choices,3%,4%,3%,6%,3%,3%,1%,2%,6%,7%,3%,3%,1%,3%,7%,3%,5%,3%,4%,2%,3%,3%,2%,4%,3%,2%,10%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,[VOL] Don't know/Refused,9%,6%,12%,11%,13%,6%,8%,8%,9%,13%,8%,9%,8%,9%,11%,12%,4%,8%,11%,13%,6%,12%,11%,7%,7%,5%,46%,0%,0%,0%
How satisfied are you with the way things are going in your life these days?,Number of respondents,614,301,309,74,117,195,215,530,27,42,275,335,239,288,28,40,69,277,58,113,97,134,164,316,305,266,43,262,228,47
How satisfied are you with the way things are going in your life these days?,Percent of total electorate,100%,46%,53%,13%,20%,35%,29%,84%,5%,8%,35%,64%,31%,53%,4%,9%,11%,46%,8%,19%,16%,21%,27%,52%,47%,45%,7%,38%,38%,9%
How satisfied are you with the way things are going in your life these days?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Gender,Gender,Age,Age,Age,Age,Race/Ethnicity,Race/Ethnicity,Race/Ethnicity,Education,Education,Race/Education,Race/Education,Race/Education,Race/Education,Region,Region,Region,Region,Region,Neighborhood Type,Neighborhood Type,Neighborhood Type,2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Head to Head),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties),2024 Vote (Includes Third Parties)
How satisfied are you with the way things are going in your life these days?,(If candidate selected)  Are you definitely or probably going to vote for [CANDIDATE SELECTED IN PREVIOUS QUESTION]?,Registered Voters,Men,Women,18-29,30-44,45-64,65+,White,Black,Oth.,B.A.+,No B.A.,"White, college","White, no college","Non-white, college","Non-white, no college",Dane,East / North,Milwau. City,Milwau. Suburbs,West,City,Suburb,Rural/ Small Town,Biden,Trump,Oth.,Biden,Trump,Kennedy
