itm,v1,wisconsin_likely_electorate_wisconsin_likely_electorate,gender_men,gender_women,age_18_29,age_30_44,age_45_64,age_65,race_ethnicity_white,race_ethnicity_black,race_ethnicity_oth,education_b_a,education_no_b_a,race_education_white_college,race_education_white_no_college,race_education_non_white_college,race_education_non_white_no_college,region_dane,region_east_north,region_milwau_city,region_milwau_suburbs,region_west,neighborhood_type_city,neighborhood_type_suburb,neighborhood_type_rural_small_town,x2024_vote_head_to_head_harris,x2024_vote_head_to_head_trump,x2024_vote_head_to_head_oth,party_id_dem,party_id_rep,party_id_ind
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Right track,33%,27%,38%,17%,36%,30%,41%,32%,49%,32%,45%,26%,46%,23%,32%,43%,42%,27%,54%,36%,31%,42%,36%,28%,62%,3%,8%,66%,4%,29%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Wrong direction,58%,66%,50%,72%,51%,62%,51%,59%,39%,49%,45%,66%,44%,69%,53%,41%,46%,64%,34%,53%,63%,43%,55%,64%,23%,94%,64%,21%,93%,60%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",[VOLUNTEERED] Don't know/Refused,10%,7%,13%,12%,14%,7%,8%,9%,12%,19%,10%,9%,10%,8%,15%,16%,12%,9%,12%,11%,7%,15%,9%,8%,15%,3%,28%,13%,3%,12%
"Do you think the United States is on the right track, or is it headed in the wrong direction?",Number of respondents,680,302,370,96,134,235,189,586,31,50,294,382,264,321,25,55,73,311,58,128,110,147,165,368,357,295,28,221,176,225
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Almost certain,71%,69%,73%,58%,72%,70%,77%,74%,42%,60%,80%,66%,82%,68%,56%,51%,89%,68%,72%,73%,64%,72%,75%,69%,77%,66%,53%,78%,71%,69%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Very likely,25%,25%,24%,31%,24%,26%,21%,23%,48%,29%,17%,29%,15%,27%,38%,37%,7%,27%,25%,23%,32%,25%,20%,27%,20%,29%,28%,21%,28%,23%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Somewhat likely,3%,4%,2%,7%,3%,3%,1%,2%,9%,5%,2%,3%,2%,3%,4%,9%,3%,3%,2%,1%,3%,3%,3%,3%,2%,3%,8%,1%,<.5%,6%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not very likely,<.5%,<1%,<.5%,3%,<1%,<.5%,0%,<.5%,1%,3%,<.5%,<1%,<.5%,<.5%,0%,3%,<1%,<.5%,1%,<1%,<.5%,<.5%,<1%,<.5%,<.5%,<1%,0%,0%,0%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",Not at all likely,<1%,1%,<1%,<1%,<.5%,<1%,2%,<1%,0%,2%,<1%,<1%,<1%,1%,2%,<1%,0%,1%,0%,1%,0%,0%,1%,1%,<.5%,1%,8%,0%,<.5%,1%
"Thinking ahead to the presidential general election, are you almost certain that you will vote, very likely to vote, somewhat likely to vote, not very likely to vote or not at all likely to vote?",[VOL] Already voted,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
